PREF IBKR,PREF YF,CMON,FF-FR_,BOND_,CRDT SCORE_,EX-DIV DATE,CALL DATE,MATUR DATE,DIV AMOUNT,COUPON,Aug2022_Price,Oct19_Price,CMON OUTS SHARES,CMON SECTOR,LAST PRICE,TIME TO DIV,DIV ADJ.PRICE,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Last Price,Oct19_diff,Aug2022_diff,SMA88,SMA268,SMA88 chg,SMA268 chg,6M Low,6M High,1Y Low,1Y High
OXLCN,OXLCN,OXLC,,Term,8.00,05/16/2025,6/30/2024,6/30/2029,0.15,7.13%,24.60,22.92,437.24,Cef,,,,,,,,23.97,1.05,-0.63,24.08,24.09,-0.45,-0.49,23.40,24.50,22.11,24.50
OXLCO,OXLCO,OXLC,,,8.00,05/16/2025,8/31/2024,8/31/2029,0.13,6.00%,23.37,21.49,437.24,Cef,,,,,,,,22.62,1.13,-0.75,22.86,22.73,-1.05,-0.49,22.28,23.47,20.70,23.47
OXLCP,OXLCP,OXLC,,,8.00,05/16/2025,2/28/2023,2/28/2027,0.13,6.25%,24.00,22.74,437.24,Cef,,,,,,,,24.26,1.52,0.26,24.19,23.93,0.31,1.38,23.70,24.46,22.35,24.46
OXLCZ,OXLCZ,OXLC,,BB,8.00,06/13/2025,1/31/2024,1/31/2027,0.31,5.00%,23.69,22.31,437.24,Cef,,,,,,,,23.86,1.55,0.17,23.87,23.61,-0.03,1.06,23.33,24.37,21.93,24.37
OXSQG,OXSQG,OXSQ,,BB,8.00,06/20/2025,5/31/2024,7/31/2028,0.34,5.50%,23.55,21.50,71.37,Cef,,,,,,,,23.11,1.61,-0.44,23.24,23.02,-0.56,0.40,22.64,23.49,21.30,23.49
OXSQZ,OXSQZ,OXSQ,,BB,8.00,06/20/2025,4/30/2022,4/30/2026,0.39,6.25%,24.70,23.48,71.37,Cef,,,,,,,,24.90,1.42,0.20,24.71,24.55,0.77,1.44,24.30,25.00,23.25,25.00
PBI PRB,PBI-B,PBI,,BB,8.00,05/23/2025,3/7/2018,3/7/2043,0.42,6.70%,23.44,16.07,183.19,Integratedfreight&logistics,,,,,,,,20.19,4.12,-3.25,19.95,19.62,1.23,2.93,17.31,22.23,14.17,22.23
PDPA,PDPA,-,,,8.00,05/16/2025,12/31/2026,12/31/2029,0.17,8.00%,,,-,-,,,,,,,,24.95,,,,,,,24.30,25.84,24.30,25.84
PMT PRA,PMT-A,PMT,,,8.00,05/28/2025,3/15/2024,NONE,0.51,8.13%,24.77,20.80,87.13,Reit,,,,,,,,24.72,3.92,-0.05,24.21,24.27,2.11,1.85,22.68,26.00,20.11,26.00
PMT PRB,PMT-B,PMT,,,8.00,05/28/2025,6/15/2024,NONE,0.50,8.00%,25.00,20.27,87.13,Reit,,,,,,,,24.86,4.59,-0.14,24.16,24.11,2.90,3.12,22.76,25.21,19.80,25.21
PMT PRC,PMT-C,PMT,,,8.00,05/28/2025,8/24/2026,NONE,0.42,6.75%,21.21,16.38,87.13,Reit,,,,,,,,19.40,3.02,-1.81,19.39,19.76,0.04,-1.80,17.51,21.66,16.04,21.66
PMTU,PMTU,PMT,,BB,8.00,06/13/2025,9/30/2025,9/30/2028,0.53,8.50%,,24.25,87.13,Reit,,,,,,,,25.34,1.09,,25.42,25.57,-0.31,-0.90,24.46,26.29,23.75,26.49
PMTV,PMTV,PMT,,,8.00,16-May,2/15/2027,2/15/2030,0.56,9.00%,,,87.13,Reit,,,,,,,,25.08,,,,,,,24.50,25.79,24.50,25.79
PNFPP,PNFPP,PNFP,,,8.00,06/20/2025,9/1/2025,NONE,0.42,6.75%,26.08,21.00,77.52,Regionalbank,,,,,,,,24.08,3.08,-2.00,24.63,24.32,-2.24,-0.97,23.76,25.29,20.50,25.29
PRIF PRD,PRIF-D,-,,,8.00,06/20/2025,3/31/2022,6/30/2029,0.44,7.00%,24.79,22.45,-,-,,,,,,,,24.24,1.79,-0.55,24.12,23.83,0.51,1.71,23.39,24.78,20.30,24.78
PRIF PRF,PRIF-F,-,,,8.00,06/20/2025,2/25/2023,6/30/2027,0.41,6.63%,24.60,23.37,-,-,,,,,,,,25.19,1.82,0.59,24.55,24.17,2.59,4.22,23.78,25.22,22.22,25.22
PRIF PRH,PRIF-H,-,,,8.00,06/20/2025,5/6/2023,12/31/2026,0.38,6.00%,,,-,-,,,,,,,,,,,,,,,,,,
PRIF PRI,PRIF-I,-,,,8.00,06/20/2025,6/17/2024,6/30/2028,0.38,6.13%,23.73,22.13,-,-,,,,,,,,23.66,1.53,-0.07,23.49,23.21,0.73,1.95,22.82,24.98,21.48,24.98
PRIF PRJ,PRIF-J,-,,,8.00,06/20/2025,8/10/2024,12/31/2028,0.38,6.00%,23.06,22.36,-,-,,,,,,,,23.12,0.76,0.06,23.03,22.93,0.39,0.81,22.33,23.75,21.15,23.75
PRIF PRK,PRIF-K,-,,,8.00,06/20/2025,9/30/2026,NONE,0.44,7.00%,23.93,19.45,-,-,,,,,,,,22.23,2.78,-1.70,22.19,21.73,0.19,2.28,20.20,23.29,18.96,23.29
PRIF PRL,PRIF-L,-,,,9.50,05/30/2025,2/28/2025,3/31/2029,0.40,6.38%,24.30,21.96,-,-,,,,,,,,23.52,1.56,-0.78,23.46,23.29,0.25,1.01,22.70,24.27,21.44,24.27
QVCC,QVCC,QVCGA,,BB,9.50,05/30/2025,11/26/2024,11/26/2068,0.39,6.25%,21.68,8.35,403.43,Internetretail,,,,,,,,8.55,0.20,-13.13,10.57,11.99,-19.10,-28.66,7.42,14.19,7.42,15.10
QVCD,QVCD,QVCGA,,BB,8.00,06/27/2025,9/13/2023,9/13/2067,0.40,6.38%,22.05,8.31,403.43,Internetretail,,,,,,,,8.60,0.29,-13.45,10.67,12.08,-19.37,-28.82,7.23,14.12,7.23,15.20
RC PRE,RC-E,RC,,,8.00,01/09/2025,6/10/2026,NONE,0.41,6.50%,20.71,17.39,172.29,Reit,,,,,,,,15.35,-2.04,-5.36,16.81,18.14,-8.68,-15.38,14.87,19.73,14.87,19.73
RCB,RCB,RC,,BB,8.00,06/24/2025,7/30/2022,7/30/2026,0.39,6.20%,24.25,23.45,172.29,Reit,,,,,,,,23.90,0.45,-0.35,24.21,24.22,-1.29,-1.33,23.50,24.85,22.90,24.85
RCC,RCC,RC,,BB,8.00,05/30/2025,2/15/2023,2/15/2026,0.36,5.75%,23.91,23.74,172.29,Reit,,,,,,,,24.50,0.76,0.59,24.56,24.39,-0.23,0.43,24.17,26.87,22.90,26.87
RCD,RCD,RC,,,10.50,07/09/2025,12/15/2026,12/15/2029,0.56,9.00%,,,172.29,Reit,,,,,,,,23.34,,,,,,,22.97,25.55,22.97,25.55
RF PRC,RF-C,RF,NFF,,10.50,06/02/2025,8/15/2029,NONE,0.36,5.70%,,,898.77,Regionalbank,,,,,,,,23.38,,,23.82,23.82,-1.83,-1.85,21.94,25.56,16.63,25.56
RF PRF,RF-F,RF,NFF,,8.00,07/25/2025,9/15/2029,NONE,0.43,6.95%,,,898.77,Regionalbank,,,,,,,,25.28,,,,,,,24.20,26.67,23.61,26.67
RITM PRA,RITM-A,RITM,FF,,8.00,07/25/2025,8/15/2024,NONE,0.64,7.50%,,,529.83,Reit,,,,,,,,25.29,,,25.38,25.33,-0.36,-0.15,24.36,26.22,20.85,26.22
RITM PRB,RITM-B,RITM,FF,,8.00,07/25/2025,8/15/2024,NONE,0.63,7.13%,,,529.83,Reit,,,,,,,,25.28,,,25.24,25.19,0.16,0.38,24.07,25.86,19.50,25.86
RITM PRC,RITM-C,RITM,FF,,8.00,07/25/2025,2/15/2025,NONE,0.59,6.38%,,,529.83,Reit,,,,,,,,24.72,,,24.68,24.20,0.16,2.15,22.80,25.18,17.12,25.18
RITM PRD,RITM-D,RITM,NFF,,12.00,08/01/2025,11/15/2026,NONE,0.44,7.00%,,,529.83,Reit,,,,,,,,24.11,,,23.99,23.76,0.50,1.47,22.33,24.70,18.81,25.26
RIV PRA,RIV-A,RIV,,,9.50,06/13/2025,5/15/2027,NONE,0.38,6.00%,25.01,22.06,21.47,Cef,,,,,,,,22.95,0.89,-2.06,23.34,23.43,-1.66,-2.06,22.40,24.80,21.89,24.80
RJF PRB,RJF-B,RJF,,,8.00,06/27/2025,7/1/2026,NONE,0.40,6.38%,,,201.75,Assetmanagement,,,,,,,,25.25,,,25.23,25.21,0.09,0.14,24.76,26.45,24.60,26.45
RLJ PRA,RLJ-A,RLJ,,,8.00,07/30/2025,NONE,NONE,0.49,7.80%,26.33,23.55,151.76,Reit,,,,,,,,24.65,1.10,-1.68,24.76,25.13,-0.44,-1.91,22.80,26.63,22.80,26.63
RPT PRC,RPT-C,RPT,NFF,,8.00,05/15/2025,5/15/2030,NONE,0.49,9.88%,,,45.42,Reit,,,,,,,,25.01,,,,,,,24.22,25.50,24.22,25.50
RWAYL,RWAYL,RWAY,,BB,8.00,05/15/2025,7/28/2024,7/28/2027,0.47,7.50%,25.40,24.30,37.35,Creditservices,,,,,,,,25.02,0.72,-0.38,25.03,25.03,-0.05,-0.03,24.58,25.44,23.52,25.44
RWAYZ,RWAYZ,RWAY,,BB,8.00,06/27/2025,12/31/2024,12/31/2027,0.50,8.00%,,24.52,37.35,Creditservices,,,,,,,,25.02,0.50,,25.22,25.22,-0.78,-0.78,24.83,25.51,23.74,25.70
RWT PRA,RWT-A,RWT,NFF,,8.00,05/15/2025,4/15/2028,NONE,0.63,10.00%,,,132.98,Reit,,,,,,,,24.91,,,24.87,25.21,0.16,-1.19,20.77,26.50,19.62,26.50
RWTN,RWTN,RWT,,BB,8.00,05/15/2025,3/1/2026,3/1/2029,0.57,9.13%,,,132.98,Reit,,,,,,,,24.30,,,24.82,25.11,-2.08,-3.24,22.48,25.89,22.48,27.10
RWTO,RWTO,RWT,,BB,8.00,05/15/2025,9/1/2026,9/1/2029,0.56,9.00%,,,132.98,Reit,,,,,,,,24.52,,,,,,,22.25,26.00,22.25,26.00
RWTP,RWTP,RWT,,,12.00,05/30/2025,3/1/2027,3/1/2030,0.85,9.13%,,,132.98,Reit,,,,,,,,24.26,,,,,,,22.70,25.25,22.70,25.25
RZB,RZB,RGA,,,12.00,06/27/2025,6/15/2026,6/15/2056,0.36,5.75%,,,66.07,Insurance,,,,,,,,25.00,,,24.77,24.93,0.95,0.28,24.11,26.00,23.44,26.47
RZC,RZC,RGA,,,8.00,06/13/2025,10/15/2027,10/15/2052,0.45,7.13%,,,66.07,Insurance,,,,,,,,25.87,,,25.88,26.16,-0.04,-1.12,24.74,27.33,24.74,29.20
SACH PRA,SACH-A,SACH,,,8.00,05/15/2025,6/29/2026,NONE,0.48,7.75%,24.15,19.69,47.31,Reit,,,,,,,,15.14,-4.55,-9.01,16.17,19.40,-6.36,-21.95,12.54,23.78,12.54,25.06
SAJ,SAJ,SAR,,BB,8.00,05/15/2025,10/27/2024,10/31/2027,0.50,8.00%,,24.68,15.36,Assetmanagement,,,,,,,,25.50,0.82,,25.36,25.26,0.54,0.95,24.74,25.75,24.20,26.49
SAT,SAT,SAR,,BB,8.00,05/15/2025,4/27/2024,4/30/2027,0.38,6.00%,24.99,23.30,15.36,Assetmanagement,,,,,,,,24.48,1.18,-0.51,24.58,24.42,-0.42,0.23,23.91,25.16,22.75,25.16
SAY,SAY,SAR,,BB,8.00,05/15/2025,12/13/2024,12/31/2027,0.51,8.13%,,25.01,15.36,Assetmanagement,,,,,,,,25.07,0.06,,25.36,25.30,-1.14,-0.90,24.90,25.98,24.30,25.98
SAZ,SAZ,SAR,,BB,8.00,07/16/2025,4/14/2025,4/15/2028,0.53,8.50%,,25.03,15.36,Assetmanagement,,,,,,,,25.20,0.17,,25.41,25.44,-0.81,-0.93,24.90,26.00,24.52,26.00
SB PRC,SB-C,SB,,,8.00,07/16/2025,5/31/2019,NONE,0.50,8.00%,25.20,24.98,105.27,Marineshipping,,,,,,,,25.58,0.60,0.38,25.33,25.54,1.00,0.14,24.85,26.50,24.31,26.50
SB PRD,SB-D,SB,,,8.00,06/13/2025,6/30/2019,NONE,0.50,8.00%,,,105.27,Marineshipping,,,,,,,,25.43,,,25.33,25.64,0.38,-0.80,24.17,26.14,24.17,26.90
SCCC,SCCC,SACH,,BB,8.00,06/13/2025,9/30/2022,9/30/2025,0.48,7.75%,25.20,23.66,47.31,Reit,,,,,,,,24.88,1.22,-0.32,24.69,24.74,0.78,0.58,23.99,25.20,22.86,25.20
SCCD,SCCD,SACH,,,8.00,06/13/2025,9/20/2023,9/30/2026,0.38,6.00%,23.82,21.50,47.31,Reit,,,,,,,,20.70,-0.80,-3.12,20.97,21.60,-1.29,-4.19,19.00,23.10,19.00,23.26
SCCE,SCCE,SACH,,BB,8.00,06/13/2025,3/9/2024,3/30/2027,0.38,6.00%,23.08,20.88,47.31,Reit,,,,,,,,19.22,-1.66,-3.86,19.60,20.89,-1.95,-7.99,18.05,22.53,18.05,23.33
SCCF,SCCF,SACH,,BB,8.00,06/13/2025,5/11/2024,6/30/2027,0.45,7.13%,24.65,21.80,47.31,Reit,,,,,,,,19.50,-2.30,-5.15,19.49,21.13,0.03,-7.72,17.94,22.94,17.94,24.05
SCCG,SCCG,SACH,,BB,10.50,06/13/2025,8/23/2024,9/30/2027,0.50,8.00%,,22.80,47.31,Reit,,,,,,,,19.28,-3.52,,20.48,21.96,-5.87,-12.21,18.80,24.33,18.80,24.45
SCE PRJ,SCE-J,EIX,NFF,,10.50,06/13/2025,9/15/2025,NONE,0.34,5.38%,,,384.94,Utility,,,,,,,,22.56,,,22.77,23.72,-0.94,-4.89,20.70,25.10,18.94,25.10
SCE PRK,SCE-K,EIX,NFF,,10.50,06/13/2025,3/15/2026,NONE,0.34,5.45%,,,384.94,Utility,,,,,,,,23.23,,,23.31,24.23,-0.35,-4.11,21.91,25.37,20.98,25.49
SCE PRM,SCE-M,EIX,,TP,10.50,06/13/2025,11/22/2028,NONE,0.47,7.50%,,,384.94,Utility,,,,,,,,22.90,,,23.43,25.52,-2.25,-10.28,22.14,27.55,22.14,27.55
SCE PRN,SCE-N,EIX,,TP,8.00,06/27/2025,5/13/2029,NONE,0.43,6.95%,,,384.94,Utility,,,,,,,,21.79,,,,,,,20.71,27.12,20.71,27.12
SEAL PRA,SEAL-A,SEAL,,,8.00,06/27/2025,10/5/2021,NONE,0.56,9.00%,,,-,-,,,,,,,,25.34,,,25.38,25.51,-0.17,-0.68,24.50,26.00,23.60,26.49
SEAL PRB,SEAL-B,SEAL,NFF,,8.00,06/13/2025,10/15/2027,NONE,0.53,8.50%,,,-,-,,,,,,,,25.57,,,25.43,25.69,0.53,-0.46,23.92,26.75,22.64,27.44
SNV PRD,SNV-D,SNV,FF,,8.00,06/13/2025,6/21/2023,NONE,0.50,6.30%,,,138.77,Regionalbank,,,,,,,,24.95,,,25.04,25.15,-0.36,-0.79,23.51,25.75,22.28,25.80
SNV PRE,SNV-E,SNV,FF,,12.00,06/13/2025,7/1/2024,NONE,0.53,5.88%,,,138.77,Regionalbank,,,,,,,,25.74,,,25.69,25.72,0.18,0.06,24.21,26.86,19.55,26.86
SOJF,SOJF,SO,,,8.00,05/15/2025,3/15/2030,3/15/2085,0.41,6.50%,,,1098.51,Utility,,,,,,,,25.59,,,,,,,24.92,26.99,24.92,26.99
SPMA,SPMA,SPMC,,,9.00,05/15/2025,11/30/2026,11/30/2029,0.17,8.00%,,,20.27,Assetmanagement,,,,,,,,24.73,,,,,,,23.67,25.20,23.67,25.20
SPNT PRB,SPNT-B,SPNT,NFF,,8.00,06/13/2025,2/26/2026,NONE,0.50,8.00%,,,116.79,Insurance,,,,,,,,25.18,,,25.30,25.35,-0.46,-0.68,24.75,25.78,23.00,25.78
SSSSL,SSSSL,SSSS,,BB,8.00,06/13/2025,12/30/2024,12/30/2026,0.38,6.00%,24.75,23.35,23.55,Assetmanagement,,,,,,,,24.64,1.29,-0.11,24.60,24.43,0.18,0.87,24.16,25.40,22.39,25.40
SWKHL,SWKHL,SWKH,,BB,8.00,08/04/2025,Anytime,1/31/2027,0.56,9.00%,,24.80,12.27,Assetmanagement,,,,,,,,25.47,0.67,,25.27,25.31,0.79,0.64,24.59,25.82,24.47,25.88
SYF PRB,SYF-B,SYF,NFF,,11.50,08/08/2025,5/15/2029,NONE,0.52,8.25%,,,380.67,Creditservices,,,,,,,,24.97,,,25.27,25.58,-1.19,-2.37,23.30,26.71,23.30,26.71
TFC PRI,TFC-I,TFC,FLR,,8.00,06/13/2025,9/15/2011,NONE,0.32,4.00%,,,1308.21,Regionalbank,,,,,,,,23.83,,,22.80,23.07,4.52,3.28,20.40,25.35,19.01,25.35
TFINP,TFINP,TFIN,,,8.00,06/13/2025,6/30/2025,NONE,0.45,7.13%,25.47,19.20,23.50,Regionalbank,,,,,,,,21.07,1.87,-4.40,22.30,22.58,-5.53,-6.70,20.26,24.40,17.07,24.40
TFSA,TFSA,-,,,12.00,05/29/2025,2/10/2023,3/31/2026,0.44,7.00%,,,-,-,,,,,,,,24.65,,,24.48,23.98,0.67,2.80,23.37,26.85,21.60,27.58
TPGXL,TPGXL,TPG,,BB,8.00,06/12/2025,3/15/2029,3/15/2064,0.43,6.95%,,,110.28,Assetmanagement,,,,,,,,24.58,,,25.02,25.67,-1.77,-4.24,23.53,26.43,23.53,27.00
TRINI,TRINI,TRIN,,BB,9.00,06/09/2025,9/30/2026,9/30/2029,0.49,7.88%,,,64.65,Assetmanagement,,,,,,,,25.46,,,,,,,24.66,26.88,24.05,26.88
TRTN PRA,TRTN-A,-,,,9.00,06/09/2025,3/15/2024,NONE,0.53,8.50%,26.49,25.00,-,-,,,,,,,,25.50,0.50,-0.99,25.41,25.67,0.35,-0.67,23.96,26.55,23.96,26.83
TRTN PRB,TRTN-B,-,,,9.00,06/09/2025,9/15/2024,NONE,0.50,8.00%,26.63,23.67,-,-,,,,,,,,24.53,0.86,-2.10,24.88,25.15,-1.39,-2.45,22.75,25.70,22.75,25.95
TRTN PRC,TRTN-C,-,,,9.00,06/09/2025,12/15/2024,NONE,0.46,7.38%,26.10,22.32,-,-,,,,,,,,22.99,0.67,-3.11,23.76,24.50,-3.26,-6.16,21.93,25.56,21.93,26.17
TRTN PRF,TRTN-F,-,,,19.50,05/30/2025,3/15/2030,NONE,0.48,7.63%,,,-,-,,,,,,,,24.11,,,,,,,23.20,25.35,23.20,25.35
TVC,TVC,GOOGL,,,19.50,07/28/2025,,6/1/2028,0.13,2.13%,,,9990.00,-,,,,,,,,23.65,,,23.37,22.92,1.21,3.17,22.53,25.33,21.00,25.33
TVE,TVE,GOOGL,,,8.00,07/10/2025,,5/1/2029,0.14,2.22%,,,9990.00,-,,,,,,,,23.28,,,22.99,22.49,1.27,3.49,22.11,25.30,20.72,25.30
TWO PRA,TWO-A,TWO,NFF,,8.00,07/10/2025,4/26/2027,NONE,0.51,8.13%,,,103.74,Reit,,,,,,,,23.01,,,24.11,24.08,-4.54,-4.44,21.52,25.39,18.85,25.39
TWO PRB,TWO-B,TWO,NFF,,8.00,07/10/2025,7/27/2027,NONE,0.48,7.63%,,,103.74,Reit,,,,,,,,22.84,,,23.50,23.60,-2.82,-3.23,21.27,25.43,17.90,25.43
TWO PRC,TWO-C,TWO,FF,,8.00,05/29/2025,1/27/2025,NONE,0.60,7.25%,,,103.74,Reit,,,,,,,,24.17,,,24.49,24.40,-1.30,-0.95,22.25,25.20,18.55,25.20
UCB PRI,UCB-I,UCB,,,8.00,05/15/2025,9/15/2025,NONE,0.43,6.88%,,,119.46,Regionalbank,,,,,,,,24.37,,,24.65,24.46,-1.12,-0.36,23.50,25.34,18.38,25.34
UMH PRD,UMH-D,UMH,,,12.50,06/27/2025,1/22/2023,NONE,0.40,6.38%,25.57,20.85,83.91,Reit,,,,,,,,22.19,1.34,-3.38,22.44,23.00,-1.11,-3.52,20.99,24.38,19.83,24.42
USB PRH,USB-H,USB,FLR,,8.00,06/12/2025,4/15/2011,NONE,0.32,3.50%,,,1557.99,Regionalbank,,,,,,,,21.00,,,22.09,21.89,-4.93,-4.07,18.91,24.00,17.27,24.00
VLYPN,VLYPN,VLY,NFF,,8.00,06/13/2025,9/30/2029,NONE,0.52,8.25%,,,559.85,Regionalbank,,,,,,,,25.51,,,,,,,23.75,26.88,23.75,26.88
VLYPO,VLYPO,VLY,FF,,8.00,06/13/2025,9/30/2022,NONE,0.52,5.50%,,,559.85,Regionalbank,,,,,,,,24.96,,,24.86,24.76,0.42,0.81,22.73,25.77,19.61,26.01
VLYPP,VLYPP,VLY,NFF,,10.00,05/27/2025,6/30/2025,NONE,0.39,6.25%,,,559.85,Regionalbank,,,,,,,,25.13,,,24.72,23.99,1.65,4.76,21.71,25.68,15.50,25.68
VOYA PRB,VOYA-B,VOYA,NFF,,8.00,06/13/2025,9/15/2029,NONE,0.33,5.35%,,,96.09,Financialconglomerates,,,,,,,,24.27,,,24.18,24.66,0.39,-1.57,22.81,26.63,19.83,26.63
WAL PRA,WAL-A,WAL,NFF,,10.00,06/30/2025,9/30/2026,NONE,0.27,4.25%,,,110.43,Regionalbank,,,,,,,,21.61,,,21.91,20.59,-1.37,4.95,19.57,23.00,13.04,23.00
WBS PRG,WBS-G,WBS,,,8.00,06/13/2025,4/15/2018,NONE,0.41,6.50%,25.24,20.25,168.44,Regionalbank,,,,,,,,23.98,3.73,-1.26,23.41,23.60,2.41,1.59,21.26,25.26,18.12,25.26
WCC PRA,WCC-A,WCC,NFF,,8.00,05/28/2025,6/22/2025,NONE,0.66,10.63%,,,48.81,Industrialdistribution,,,,,,,,25.50,,,25.56,25.91,-0.23,-1.59,25.24,26.48,25.24,27.39
WHFCL,WHFCL,WHF,,BB,8.00,07/28/2025,9/15/2025,9/15/2028,0.49,7.88%,,24.85,23.24,Assetmanagement,,,,,,,,25.45,0.60,,25.34,25.34,0.44,0.42,25.01,25.73,24.54,27.41
WSBCP,WSBCP,WSBC,NFF,,8.00,07/01/2025,11/15/2025,NONE,0.42,6.75%,,,95.79,Regionalbank,,,,,,,,25.17,,,25.18,25.00,-0.05,0.69,24.42,25.60,21.01,25.60
WTFCM,WTFCM,WTFC,NFF,,8.00,07/01/2025,7/15/2025,NONE,0.41,6.50%,,,66.87,Regionalbank,,,,,,,,25.10,,,25.07,24.87,0.12,0.93,24.34,25.50,20.46,25.50
WTFCP,WTFCP,WTFC,NFF,,8.00,07/14/2025,7/15/2025,NONE,0.43,6.88%,,,66.87,Regionalbank,,,,,,,,25.16,,,25.16,25.09,0.01,0.28,24.68,25.49,22.47,25.49
XFLT PRA,XFLT-A,XFLT,,,8.00,06/30/2025,3/31/2023,3/31/2026,0.41,6.50%,25.46,24.54,76.12,Cef,,,,,,,,25.14,0.60,-0.32,25.12,24.96,0.10,0.72,24.61,25.45,24.21,25.45
XOMAO,XOMAO,XOMA,,,8.00,06/30/2025,4/15/2022,NONE,0.52,8.38%,25.30,22.56,11.95,Biotechnology,,,,,,,,25.30,2.74,0.00,25.30,25.33,-0.00,-0.11,23.32,25.87,20.43,25.87
XOMAP,XOMAP,XOMA,,,,30/06/2025,12/15/2021,NONE,0.54,8.63%,25.92,22.76,11.95,Biotechnology,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,
