PREF IBKR,PREF YF,CMON,FF-FR_,BOND_,CRDT SCORE_,EX-DIV DATE,CALL DATE,MATUR DATE,DIV AMOUNT,COUPON,Aug2022_Price,Oct19_Price,CMON OUTS SHARES,CMON SECTOR,LAST PRICE,TIME TO DIV,DIV ADJ.PRICE,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Last Price,Oct19_diff,Aug2022_diff,SMA88,SMA268,SMA88 chg,SMA268 chg,6M Low,6M High,1Y Low,1Y High,Div adj.price,6M_Low_diff,6M_High_diff,SMA88_chg_norm,SMA268_chg_norm,6M_Low_diff_norm,6M_High_diff_norm,1Y_High_diff,1Y_Low_diff,1Y_High_diff_norm,1Y_Low_diff_norm,ADV_6M,ADV_3M,ADV_15D,AVG_ADV,SOLIDITY_SCORE,Normalized_COM_6M,Normalized_COM_3M,Normalized_52W_LOW,FINAL_THG,CS_FACTOR,Group
MS PRE,MS-E,MS,,,11.0,06/27/2025,10/15/2023,NONE,0.45,7.13%,26.1,24.99,1603.20,Bank,,37.0,,,,,,25.44,0.45,-0.66,25.44,25.4,0.01,0.15,25.01,25.84,24.93,26.28,25.18,0.17,-0.66,47.97,46.19,80.65,16.48,-1.1,0.25,20.85,86.57,54310.0,53462.0,47015.0,51596.0,80.09,54.5,48.13,80.65,452.65,1.0,0.0
MS PRE,MS-E,MS,,,11.0,06/27/2025,10/15/2023,NONE,0.45,7.13%,26.1,24.99,1603.20,Bank,,37.0,,,,,,25.44,0.45,-0.66,25.44,25.4,0.01,0.15,25.01,25.84,24.93,26.28,25.18,0.17,-0.66,47.97,46.19,80.65,16.48,-1.1,0.25,20.85,86.57,54310.0,53462.0,47015.0,51596.0,80.09,54.5,48.13,80.65,452.65,1.0,0.0
MS PRF,MS-F,MS,,,11.0,06/27/2025,1/15/2024,NONE,0.43,6.88%,26.31,24.43,1603.20,Bank,,37.0,,,,,,25.22,0.79,-1.09,25.28,25.31,-0.23,-0.37,24.87,25.75,24.33,26.05,24.97,0.1,-0.78,49.13,48.03,81.91,18.14,-1.08,0.64,20.61,84.34,52387.0,59130.0,32924.0,48147.0,80.09,54.5,48.13,80.65,457.47,1.0,0.0
MS PRF,MS-F,MS,,,11.0,06/27/2025,1/15/2024,NONE,0.43,6.88%,26.31,24.43,1603.20,Bank,,37.0,,,,,,25.22,0.79,-1.09,25.28,25.31,-0.23,-0.37,24.87,25.75,24.33,26.05,24.97,0.1,-0.78,49.13,48.03,81.91,18.14,-1.08,0.64,20.61,84.34,52387.0,59130.0,32924.0,48147.0,80.09,54.5,48.13,80.65,457.47,1.0,0.0
MS PRF,MS-F,MS,,,11.0,06/27/2025,1/15/2024,NONE,0.43,6.88%,26.31,24.43,1603.20,Bank,,37.0,,,,,,25.22,0.79,-1.09,25.28,25.31,-0.23,-0.37,24.87,25.75,24.33,26.05,24.97,0.1,-0.78,49.13,48.03,81.91,18.14,-1.08,0.64,20.61,84.34,52387.0,59130.0,32924.0,48147.0,80.09,54.5,48.13,80.65,457.47,1.0,0.0
MS PRI,MS-I,MS,,,11.0,06/27/2025,10/15/2024,NONE,0.4,6.38%,26.49,23.4,1603.20,Bank,,37.0,,,,,,24.8,1.4,-1.69,24.97,25.15,-0.68,-1.41,24.21,26.75,23.25,26.75,24.56,0.35,-2.19,51.31,51.72,77.42,37.59,-2.19,1.31,33.85,80.51,65495.0,77759.0,98754.0,80669.0,80.09,54.5,48.13,80.65,482.57,1.0,0.0
MS PRI,MS-I,MS,,,11.0,06/27/2025,10/15/2024,NONE,0.4,6.38%,26.49,23.4,1603.20,Bank,,37.0,,,,,,24.8,1.4,-1.69,24.97,25.15,-0.68,-1.41,24.21,26.75,23.25,26.75,24.56,0.35,-2.19,51.31,51.72,77.42,37.59,-2.19,1.31,33.85,80.51,65495.0,77759.0,98754.0,80669.0,80.09,54.5,48.13,80.65,482.57,1.0,0.0
MS PRI,MS-I,MS,,,11.0,06/27/2025,10/15/2024,NONE,0.4,6.38%,26.49,23.4,1603.20,Bank,,37.0,,,,,,24.8,1.4,-1.69,24.97,25.15,-0.68,-1.41,24.21,26.75,23.25,26.75,24.56,0.35,-2.19,51.31,51.72,77.42,37.59,-2.19,1.31,33.85,80.51,65495.0,77759.0,98754.0,80669.0,80.09,54.5,48.13,80.65,482.57,1.0,0.0
MS PRP,MS-P,MS,,,11.0,06/27/2025,10/15/2027,NONE,0.41,6.50%,26.33,24.28,1603.20,Bank,,37.0,,,,,,25.48,1.2,-0.85,25.55,25.89,-0.29,-1.59,24.7,27.14,24.25,27.14,25.24,0.54,-1.9,49.42,52.36,74.0,33.59,-1.9,0.99,30.39,82.34,50227.0,51639.0,53193.0,51686.0,80.09,54.5,48.13,80.65,470.08,1.0,0.0
MS PRP,MS-P,MS,,,11.0,06/27/2025,10/15/2027,NONE,0.41,6.50%,26.33,24.28,1603.20,Bank,,37.0,,,,,,25.48,1.2,-0.85,25.55,25.89,-0.29,-1.59,24.7,27.14,24.25,27.14,25.24,0.54,-1.9,49.42,52.36,74.0,33.59,-1.9,0.99,30.39,82.34,50227.0,51639.0,53193.0,51686.0,80.09,54.5,48.13,80.65,470.08,1.0,0.0
MS PRP,MS-P,MS,,,11.0,06/27/2025,10/15/2027,NONE,0.41,6.50%,26.33,24.28,1603.20,Bank,,37.0,,,,,,25.48,1.2,-0.85,25.55,25.89,-0.29,-1.59,24.7,27.14,24.25,27.14,25.24,0.54,-1.9,49.42,52.36,74.0,33.59,-1.9,0.99,30.39,82.34,50227.0,51639.0,53193.0,51686.0,80.09,54.5,48.13,80.65,470.08,1.0,0.0
MS PRQ,MS-Q,MS,,,8.0,06/30/2025,10/15/2029,NONE,0.41,6.63%,,,1603.20,Bank,,40.0,,,,,,25.62,,,,,,,24.82,27.35,21.92,27.35,25.39,0.57,-1.96,44.14,40.14,73.46,34.41,-1.96,3.47,31.1,68.17,90404.0,85218.0,85213.0,86945.0,80.09,54.5,48.13,80.65,442.5,1.0,0.0
MS PRQ,MS-Q,MS,,,8.0,06/30/2025,10/15/2029,NONE,0.41,6.63%,,,1603.20,Bank,,40.0,,,,,,25.62,,,,,,,24.82,27.35,21.92,27.35,25.39,0.57,-1.96,44.14,40.14,73.46,34.41,-1.96,3.47,31.1,68.17,90404.0,85218.0,85213.0,86945.0,80.09,54.5,48.13,80.65,442.5,1.0,0.0
MS PRQ,MS-Q,MS,,,8.0,06/30/2025,10/15/2029,NONE,0.41,6.63%,,,1603.20,Bank,,40.0,,,,,,25.62,,,,,,,24.82,27.35,21.92,27.35,25.39,0.57,-1.96,44.14,40.14,73.46,34.41,-1.96,3.47,31.1,68.17,90404.0,85218.0,85213.0,86945.0,80.09,54.5,48.13,80.65,442.5,1.0,0.0
MTB PRH,MTB-H,MTB,NFF,,10.5,06/02/2025,12/15/2026,NONE,0.35,5.63%,,,160.60,Regionalbank,,12.0,,,,,,,,,24.54,24.6,1.03,0.77,23.02,26.12,20.22,26.12,24.49,1.47,-1.63,43.04,43.99,57.28,29.86,-1.63,4.27,27.17,63.6,15122.0,18928.0,9704.0,14585.0,67.62,,,,389.82,1.0,5.0
OXLCO,OXLCO,OXLC,,,8.0,05/16/2025,8/31/2024,8/31/2029,0.13,6.00%,23.37,21.49,437.24,Cef,,85.0,,,,,,22.62,1.13,-0.75,22.86,22.73,-1.05,-0.49,22.28,23.47,20.7,23.47,22.61,0.33,-0.86,53.1,48.46,77.78,19.24,-0.86,1.91,17.99,77.09,1623.0,1557.0,554.0,1245.0,49.14,,,,374.24,1.0,8.0
OXLCP,OXLCP,OXLC,,,8.0,05/16/2025,2/28/2023,2/28/2027,0.13,6.25%,24.0,22.74,437.24,Cef,,85.0,,,,,,24.26,1.52,0.26,24.19,23.93,0.31,1.38,23.7,24.46,22.35,24.46,24.25,0.55,-0.21,46.52,41.83,73.82,10.28,-0.21,1.9,10.24,77.14,4780.0,5813.0,11010.0,7201.0,49.14,,,,344.83,1.0,8.0
OXLCZ,OXLCZ,OXLC,,BB,8.0,06/13/2025,1/31/2024,1/31/2027,0.31,5.00%,23.69,22.31,437.24,Cef,,23.0,,,,,,23.86,1.55,0.17,23.87,23.61,-0.03,1.06,23.33,24.37,21.93,24.37,23.63,0.3,-0.74,48.16,42.96,78.31,17.59,-0.74,1.7,16.56,78.29,4841.0,5075.0,3078.0,4331.0,50.12,,,,356.97,1.0,8.0
OXSQG,OXSQG,OXSQ,,BB,8.0,06/20/2025,5/31/2024,7/31/2028,0.34,5.50%,23.55,21.5,71.37,Cef,,30.0,,,,,,23.1,1.61,-0.44,23.24,23.02,-0.56,0.4,22.64,23.49,21.3,23.49,22.88,0.24,-0.61,50.73,45.3,79.39,15.79,-0.61,1.58,15.01,78.97,1055.0,1255.0,3842.0,2051.0,44.91,,,,352.64,1.0,1.0
OXSQZ,OXSQZ,OXSQ,,BB,8.0,06/20/2025,4/30/2022,4/30/2026,0.39,6.25%,24.7,23.48,71.37,Cef,,30.0,,,,,,24.9,1.42,0.2,24.71,24.55,0.77,1.44,24.3,25.0,23.25,25.0,24.64,0.34,-0.36,44.29,41.62,77.6,12.34,-0.36,1.39,12.03,80.06,1595.0,1997.0,2405.0,1999.0,44.91,,,,330.48,1.0,1.0
PBI PRB,PBI-B,PBI,,BB,8.0,05/23/2025,3/7/2018,3/7/2043,0.42,6.70%,23.44,16.07,183.19,Integratedfreight&logistics,,2.0,,,,,,20.19,4.12,-3.25,19.95,19.62,1.23,2.93,17.31,22.23,14.17,22.23,19.78,2.47,-2.45,42.07,36.34,39.3,41.17,-2.45,5.61,36.94,55.94,20179.0,20681.0,14973.0,18611.0,51.04,,,,332.72,1.0,3.0
PDPA,PDPA,-,,,8.0,05/16/2025,12/31/2026,12/31/2029,0.17,8.00%,,,-,-,,85.0,,,,,,24.95,,,,,,,24.3,25.84,24.3,25.84,24.94,0.64,-0.9,44.14,40.14,72.2,19.79,-0.9,0.64,18.46,84.34,4434.0,3375.0,1296.0,3035.0,42.16,,,,324.42,1.0,7.0
PDPA,PDPA,-,,,8.0,05/16/2025,12/31/2026,12/31/2029,0.17,8.00%,,,-,-,,85.0,,,,,,24.95,,,,,,,24.3,25.84,24.3,25.84,24.94,0.64,-0.9,44.14,40.14,72.2,19.79,-0.9,0.64,18.46,84.34,4434.0,3375.0,1296.0,3035.0,42.16,,,,324.42,1.0,7.0
PDPA,PDPA,-,,,8.0,05/16/2025,12/31/2026,12/31/2029,0.17,8.00%,,,-,-,,85.0,,,,,,24.95,,,,,,,24.3,25.84,24.3,25.84,24.94,0.64,-0.9,44.14,40.14,72.2,19.79,-0.9,0.64,18.46,84.34,4434.0,3375.0,1296.0,3035.0,42.16,,,,324.42,1.0,7.0
PDPA,PDPA,-,,,8.0,05/16/2025,12/31/2026,12/31/2029,0.17,8.00%,,,-,-,,85.0,,,,,,24.95,,,,,,,24.3,25.84,24.3,25.84,24.94,0.64,-0.9,44.14,40.14,72.2,19.79,-0.9,0.64,18.46,84.34,4434.0,3375.0,1296.0,3035.0,42.16,,,,324.42,1.0,7.0
PDPA,PDPA,-,,,8.0,05/16/2025,12/31/2026,12/31/2029,0.17,8.00%,,,-,-,,85.0,,,,,,24.95,,,,,,,24.3,25.84,24.3,25.84,24.94,0.64,-0.9,44.14,40.14,72.2,19.79,-0.9,0.64,18.46,84.34,4434.0,3375.0,1296.0,3035.0,42.16,,,,324.42,1.0,7.0
PMT PRA,PMT-A,PMT,,,8.0,05/28/2025,3/15/2024,NONE,0.51,8.13%,24.77,20.8,87.13,Reit,,7.0,,,,,,24.72,3.92,-0.05,24.21,24.27,2.11,1.85,22.68,26.0,20.11,26.0,24.25,1.57,-1.75,37.81,40.16,55.48,31.52,-1.75,4.14,28.6,64.34,11366.0,10975.0,6430.0,9590.0,49.96,,,,326.95,1.0,2.0
PMT PRB,PMT-B,PMT,,,8.0,05/28/2025,6/15/2024,NONE,0.5,8.00%,25.0,20.27,87.13,Reit,,7.0,,,,,,24.87,4.59,-0.14,24.16,24.11,2.9,3.12,22.76,25.21,19.8,25.21,24.4,1.64,-0.81,33.99,35.66,54.22,18.55,-0.81,4.6,17.39,61.71,15086.0,17735.0,5858.0,12893.0,49.96,,,,304.58,1.0,2.0
PMT PRC,PMT-C,PMT,,,8.0,05/28/2025,8/24/2026,NONE,0.42,6.75%,21.21,16.38,87.13,Reit,,7.0,,,,,,19.4,3.02,-1.81,19.39,19.76,0.04,-1.8,17.51,21.66,16.04,21.66,19.01,1.5,-2.65,47.82,53.1,56.74,43.93,-2.65,2.97,39.33,71.03,34911.0,44007.0,19492.0,32803.0,49.96,,,,384.88,1.0,2.0
PMTU,PMTU,PMT,,BB,8.0,06/13/2025,9/30/2025,9/30/2028,0.53,8.50%,,24.25,87.13,Reit,,23.0,,,,,,25.34,1.09,,25.42,25.57,-0.31,-0.9,24.46,26.29,23.75,26.49,24.95,0.49,-1.34,49.52,49.91,74.9,25.86,-1.54,1.2,26.1,81.14,4688.0,7591.0,25111.0,12463.0,50.96,,,,380.36,1.0,8.0
PMTV,PMTV,PMT,,,8.0,16-May,2/15/2027,2/15/2030,0.56,9.00%,,,87.13,Reit,,,,,,,,25.08,,,,,,,24.5,25.79,24.5,25.79,25.08,0.58,-0.71,44.14,40.14,73.28,17.17,-0.71,0.58,16.2,84.69,44972.0,44972.0,20532.0,36825.0,49.96,,,,351.52,1.0,0.0
PNFPP,PNFPP,PNFP,,,8.0,06/20/2025,9/1/2025,NONE,0.42,6.75%,26.08,21.0,77.52,Regionalbank,,30.0,,,,,,24.08,3.08,-2.0,24.63,24.32,-2.24,-0.97,23.76,25.29,20.5,25.29,23.8,0.04,-1.49,58.85,50.16,82.99,27.93,-1.49,3.3,25.5,69.14,12451.0,12004.0,14185.0,12880.0,60.61,,,,424.33,1.0,6.0
PRIF PRH,PRIF-H,-,,,8.0,06/20/2025,5/6/2023,12/31/2026,0.38,6.00%,,,-,-,,,,,,,,,,,,,,,,,,,,,,44.14,40.14,50.45,16.48,,,16.44,63.89,,,,2453.92,42.16,,,,311.37,1.0,5.0
PRIF PRH,PRIF-H,-,,,8.0,06/20/2025,5/6/2023,12/31/2026,0.38,6.00%,,,-,-,,,,,,,,,,,,,,,,,,,,,,44.14,40.14,50.45,16.48,,,16.44,63.89,,,,2453.92,42.16,,,,311.37,1.0,5.0
PRIF PRH,PRIF-H,-,,,8.0,06/20/2025,5/6/2023,12/31/2026,0.38,6.00%,,,-,-,,,,,,,,,,,,,,,,,,,,,,44.14,40.14,50.45,16.48,,,16.44,63.89,,,,2453.92,42.16,,,,311.37,1.0,5.0
PRIF PRH,PRIF-H,-,,,8.0,06/20/2025,5/6/2023,12/31/2026,0.38,6.00%,,,-,-,,,,,,,,,,,,,,,,,,,,,,44.14,40.14,50.45,16.48,,,16.44,63.89,,,,2453.92,42.16,,,,311.37,1.0,5.0
PRIF PRH,PRIF-H,-,,,8.0,06/20/2025,5/6/2023,12/31/2026,0.38,6.00%,,,-,-,,,,,,,,,,,,,,,,,,,,,,44.14,40.14,50.45,16.48,,,16.44,63.89,,,,2453.92,42.16,,,,311.37,1.0,5.0
SB PRD,SB-D,SB,,,8.0,06/13/2025,6/30/2019,NONE,0.5,8.00%,,,105.27,Marineshipping,,23.0,,,,,,25.43,,,25.33,25.64,0.38,-0.8,24.17,26.14,24.17,26.9,25.06,0.89,-1.08,46.18,49.56,67.71,22.28,-1.84,0.89,29.67,82.91,1568.0,1713.0,653.0,1311.0,43.17,,,,348.89,1.0,1.0
SCCC,SCCC,SACH,,BB,8.0,06/13/2025,9/30/2022,9/30/2025,0.48,7.75%,25.2,23.66,47.31,Reit,,23.0,,,,,,24.88,1.22,-0.32,24.69,24.74,0.78,0.58,23.99,25.2,22.86,25.2,24.52,0.53,-0.68,44.24,44.67,74.18,16.76,-0.68,1.66,15.84,78.51,5567.0,3926.0,2387.0,3960.0,28.32,,,,295.31,1.0,8.0
SCCD,SCCD,SACH,,,8.0,06/13/2025,9/20/2023,9/30/2026,0.38,6.00%,23.82,21.5,47.31,Reit,,23.0,,,,,,20.7,-0.8,-3.12,20.97,21.6,-1.29,-4.19,19.0,23.1,19.0,23.26,20.42,1.42,-2.68,54.26,61.57,58.18,44.34,-2.84,1.42,41.59,79.89,5004.0,4018.0,2255.0,3759.0,27.77,,,,354.4,1.0,1.0
SCCE,SCCE,SACH,,BB,8.0,06/13/2025,3/9/2024,3/30/2027,0.38,6.00%,23.08,20.88,47.31,Reit,,23.0,,,,,,19.22,-1.66,-3.86,19.6,20.89,-1.95,-7.99,18.05,22.53,18.05,23.33,18.94,0.89,-3.59,57.45,75.04,67.71,56.9,-4.39,0.89,60.07,82.91,6088.0,5481.0,4388.0,5319.0,28.32,,,,397.13,1.0,8.0
SCCF,SCCF,SACH,,BB,8.0,06/13/2025,5/11/2024,6/30/2027,0.45,7.13%,24.65,21.8,47.31,Reit,,23.0,,,,,,19.5,-2.3,-5.15,19.49,21.13,0.03,-7.72,17.94,22.94,17.94,24.05,19.16,1.22,-3.78,47.87,74.09,61.78,59.52,-4.89,1.22,66.04,81.03,4515.0,4113.0,2575.0,3734.0,28.32,,,,374.14,1.0,8.0
SCCG,SCCG,SACH,,BB,10.5,06/13/2025,8/23/2024,9/30/2027,0.5,8.00%,,22.8,47.31,Reit,,23.0,,,,,,19.28,-3.52,,20.48,21.96,-5.87,-12.21,18.8,24.33,18.8,24.45,18.91,0.11,-5.42,76.41,90.0,81.73,82.14,-5.54,0.11,73.79,87.37,6431.0,5825.0,1797.0,4684.0,28.32,,,,478.7,1.0,8.0
SCE PRJ,SCE-J,EIX,NFF,,10.5,06/13/2025,9/15/2025,NONE,0.34,5.38%,,,384.94,Utility,,23.0,,,,,,22.56,,,22.77,23.72,-0.94,-4.89,20.7,25.1,18.94,25.1,22.31,1.61,-2.79,52.56,64.05,54.76,45.86,-2.79,3.37,41.0,68.74,50969.0,51531.0,28767.0,43755.0,59.66,1.0,80.65,63.68,330.47,0.75,5.0
SCE PRJ,SCE-J,EIX,NFF,,10.5,06/13/2025,9/15/2025,NONE,0.34,5.38%,,,384.94,Utility,,23.0,,,,,,22.56,,,22.77,23.72,-0.94,-4.89,20.7,25.1,18.94,25.1,22.31,1.61,-2.79,52.56,64.05,54.76,45.86,-2.79,3.37,41.0,68.74,50969.0,51531.0,28767.0,43755.0,59.66,1.0,80.65,63.68,330.47,0.75,5.0
SCE PRK,SCE-K,EIX,NFF,,10.5,06/13/2025,3/15/2026,NONE,0.34,5.45%,,,384.94,Utility,,23.0,,,,,,23.23,,,23.31,24.23,-0.35,-4.11,21.91,25.37,20.98,25.49,22.98,1.07,-2.39,49.71,61.29,64.47,40.34,-2.51,2.0,37.66,76.57,38883.0,66282.0,65432.0,56866.0,59.66,1.0,80.65,63.68,326.63,0.75,5.0
SCE PRK,SCE-K,EIX,NFF,,10.5,06/13/2025,3/15/2026,NONE,0.34,5.45%,,,384.94,Utility,,23.0,,,,,,23.23,,,23.31,24.23,-0.35,-4.11,21.91,25.37,20.98,25.49,22.98,1.07,-2.39,49.71,61.29,64.47,40.34,-2.51,2.0,37.66,76.57,38883.0,66282.0,65432.0,56866.0,59.66,1.0,80.65,63.68,326.63,0.75,5.0
SCE PRM,SCE-M,EIX,,TP,10.5,06/13/2025,11/22/2028,NONE,0.47,7.50%,,,384.94,Utility,,23.0,,,,,,22.9,,,23.43,25.52,-2.25,-10.28,22.14,27.55,22.14,27.55,22.55,0.41,-5.0,58.9,83.16,76.34,76.34,-5.0,0.41,67.35,85.66,38950.0,57170.0,32796.0,42972.0,59.66,1.0,80.65,63.68,383.66,0.75,0.0
SCE PRM,SCE-M,EIX,,TP,10.5,06/13/2025,11/22/2028,NONE,0.47,7.50%,,,384.94,Utility,,23.0,,,,,,22.9,,,23.43,25.52,-2.25,-10.28,22.14,27.55,22.14,27.55,22.55,0.41,-5.0,58.9,83.16,76.34,76.34,-5.0,0.41,67.35,85.66,38950.0,57170.0,32796.0,42972.0,59.66,1.0,80.65,63.68,383.66,0.75,0.0
SCE PRN,SCE-N,EIX,,TP,8.0,06/27/2025,5/13/2029,NONE,0.43,6.95%,,,384.94,Utility,,37.0,,,,,,21.79,,,,,,,20.71,27.12,20.71,27.12,21.54,0.83,-5.58,44.14,40.14,68.79,84.34,-5.58,0.83,74.26,83.26,43030.0,63581.0,21781.0,42797.0,59.66,1.0,80.65,63.68,305.26,0.75,9.0
SCE PRN,SCE-N,EIX,,TP,8.0,06/27/2025,5/13/2029,NONE,0.43,6.95%,,,384.94,Utility,,37.0,,,,,,21.79,,,,,,,20.71,27.12,20.71,27.12,21.54,0.83,-5.58,44.14,40.14,68.79,84.34,-5.58,0.83,74.26,83.26,43030.0,63581.0,21781.0,42797.0,59.66,1.0,80.65,63.68,305.26,0.75,9.0
SEAL PRA,SEAL-A,SEAL,,,8.0,06/27/2025,10/5/2021,NONE,0.56,9.00%,,,-,-,,37.0,,,,,,25.34,,,25.38,25.51,-0.17,-0.68,24.5,26.0,23.6,26.49,25.01,0.51,-0.99,48.84,49.13,74.54,21.03,-1.48,1.41,25.38,79.94,4851.0,5632.0,2950.0,4478.0,42.16,,,,351.71,1.0,9.0
SEAL PRB,SEAL-B,SEAL,NFF,,8.0,06/13/2025,10/15/2027,NONE,0.53,8.50%,,,-,-,,23.0,,,,,,25.57,,,25.43,25.69,0.53,-0.46,23.92,26.75,22.64,27.44,25.18,1.26,-1.57,45.45,48.35,61.06,29.03,-2.26,2.54,34.68,73.49,6617.0,7811.0,6608.0,7012.0,42.16,,,,342.58,1.0,9.0
SNV PRD,SNV-D,SNV,FF,,8.0,06/13/2025,6/21/2023,NONE,0.5,6.30%,,,138.77,Regionalbank,,23.0,,,,,,24.96,,,25.04,25.15,-0.36,-0.79,23.51,25.75,22.28,25.8,24.58,1.07,-1.17,49.76,49.52,64.47,23.52,-1.22,2.3,22.28,74.86,15323.0,11975.0,12253.0,13184.0,58.57,,,,393.4,1.0,6.0
SNV PRE,SNV-E,SNV,FF,,12.0,06/13/2025,7/1/2024,NONE,0.53,5.88%,,,138.77,Regionalbank,,23.0,,,,,,25.74,,,25.69,25.72,0.18,0.06,24.21,26.86,19.55,26.86,25.35,1.14,-1.51,47.15,46.51,63.21,28.21,-1.51,5.8,25.74,54.86,48408.0,42723.0,21171.0,37434.0,58.57,,,,384.33,1.0,6.0
SOJF,SOJF,SO,,,8.0,05/15/2025,3/15/2030,3/15/2085,0.41,6.50%,,,1098.51,Utility,,84.0,,,,,,25.59,,,,,,,24.92,26.99,24.92,26.99,25.56,0.64,-1.43,44.14,40.14,72.2,27.1,-1.43,0.64,24.78,84.34,120609.0,120609.0,33316.0,91511.0,75.46,63.56,67.74,62.11,433.2,1.0,0.0
SOJF,SOJF,SO,,,8.0,05/15/2025,3/15/2030,3/15/2085,0.41,6.50%,,,1098.51,Utility,,84.0,,,,,,25.59,,,,,,,24.92,26.99,24.92,26.99,25.56,0.64,-1.43,44.14,40.14,72.2,27.1,-1.43,0.64,24.78,84.34,120609.0,120609.0,33316.0,91511.0,75.46,63.56,67.74,62.11,433.2,1.0,0.0
SOJF,SOJF,SO,,,8.0,05/15/2025,3/15/2030,3/15/2085,0.41,6.50%,,,1098.51,Utility,,84.0,,,,,,25.59,,,,,,,24.92,26.99,24.92,26.99,25.56,0.64,-1.43,44.14,40.14,72.2,27.1,-1.43,0.64,24.78,84.34,120609.0,120609.0,33316.0,91511.0,75.46,63.56,67.74,62.11,433.2,1.0,0.0
SOJF,SOJF,SO,,,8.0,05/15/2025,3/15/2030,3/15/2085,0.41,6.50%,,,1098.51,Utility,,84.0,,,,,,25.59,,,,,,,24.92,26.99,24.92,26.99,25.56,0.64,-1.43,44.14,40.14,72.2,27.1,-1.43,0.64,24.78,84.34,120609.0,120609.0,33316.0,91511.0,75.46,63.56,67.74,62.11,433.2,1.0,0.0
