PREF IBKR,PREF YF,CMON,FF-FR_,BOND_,CRDT SCORE_,EX-DIV DATE,CALL DATE,MATUR DATE,DIV AMOUNT,COUPON,Aug2022_Price,Oct19_Price,CMON OUTS SHARES,CMON SECTOR,LAST PRICE,TIME TO DIV,DIV ADJ.PRICE,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Last Price,Oct19_diff,Aug2022_diff,SMA88,SMA268,SMA88 chg,SMA268 chg,6M Low,6M High,1Y Low,1Y High,Div adj.price,6M_Low_diff,6M_High_diff,SMA88_chg_norm,SMA268_chg_norm,6M_Low_diff_norm,6M_High_diff_norm,1Y_High_diff,1Y_Low_diff,1Y_High_diff_norm,1Y_Low_diff_norm,ADV_6M,ADV_3M,ADV_15D,AVG_ADV,SOLIDITY_SCORE,Normalized_COM_6M,Normalized_COM_3M,Normalized_52W_LOW,FINAL_THG,CS_FACTOR,Group
SPMA,SPMA,SPMC,,,9.0,05/15/2025,11/30/2026,11/30/2029,0.17,8.00%,,,20.27,Assetmanagement,,84.0,,,,,,24.73,,,,,,,23.67,25.2,23.67,25.2,24.72,1.05,-0.48,44.14,40.14,64.83,14.0,-0.48,1.05,13.46,82.0,13202.0,9681.0,8513.0,10465.0,53.34,,,,348.98,1.0,7.0
SPNT PRB,SPNT-B,SPNT,NFF,,8.0,06/13/2025,2/26/2026,NONE,0.5,8.00%,,,116.79,Insurance,,23.0,,,,,,25.18,,,25.3,25.35,-0.46,-0.68,24.75,25.78,23.0,25.78,24.81,0.06,-0.97,50.24,49.13,82.63,20.76,-0.97,1.81,19.3,77.66,18402.0,21608.0,12335.0,17448.0,60.89,,,,404.61,1.0,9.0
SSSSL,SSSSL,SSSS,,BB,8.0,06/13/2025,12/30/2024,12/30/2026,0.38,6.00%,24.75,23.35,23.55,Assetmanagement,,23.0,,,,,,24.64,1.29,-0.11,24.6,24.43,0.18,0.87,24.16,25.4,22.39,25.4,24.36,0.2,-1.04,47.15,43.64,80.11,21.72,-1.04,1.97,20.13,76.74,4079.0,2949.0,220.0,2416.0,45.03,,,,344.61,1.0,1.0
SWKHL,SWKHL,SWKH,,BB,8.0,08/04/2025,Anytime,1/31/2027,0.56,9.00%,,24.8,12.27,Assetmanagement,,75.0,,,,,,25.47,0.67,,25.27,25.31,0.79,0.64,24.59,25.82,24.47,25.88,25.38,0.79,-0.44,44.2,44.45,69.51,13.45,-0.5,0.91,13.7,82.8,4863.0,8143.0,1377.0,4794.0,48.03,,,,343.08,1.0,1.0
SYF PRB,SYF-B,SYF,NFF,,11.5,08/08/2025,5/15/2029,NONE,0.52,8.25%,,,380.67,Creditservices,,79.0,,,,,,24.97,,,25.27,25.58,-1.19,-2.37,23.3,26.71,23.3,26.71,24.91,1.61,-1.8,53.77,55.12,54.76,32.21,-1.8,1.61,29.2,78.8,52081.0,50480.0,48937.0,50500.0,68.22,46.88,46.38,82.89,447.86,1.0,5.0
TFC PRI,TFC-I,TFC,FLR,,8.0,06/13/2025,9/15/2011,NONE,0.32,4.00%,,,1308.21,Regionalbank,,23.0,,,,,,23.83,,,22.8,23.07,4.52,3.28,20.4,25.35,19.01,25.35,23.59,3.19,-1.76,26.15,35.1,26.36,31.66,-1.76,4.58,28.72,61.83,10110.0,11424.0,21472.0,14335.0,64.28,40.22,38.43,68.44,321.72,1.0,3.0
TFC PRI,TFC-I,TFC,FLR,,8.0,06/13/2025,9/15/2011,NONE,0.32,4.00%,,,1308.21,Regionalbank,,23.0,,,,,,23.83,,,22.8,23.07,4.52,3.28,20.4,25.35,19.01,25.35,23.59,3.19,-1.76,26.15,35.1,26.36,31.66,-1.76,4.58,28.72,61.83,10110.0,11424.0,21472.0,14335.0,64.28,40.22,38.43,68.44,321.72,1.0,3.0
TFINP,TFINP,TFIN,,,8.0,06/13/2025,6/30/2025,NONE,0.45,7.13%,25.47,19.2,23.50,Regionalbank,,23.0,,,,,,21.07,1.87,-4.4,22.3,22.58,-5.53,-6.7,20.26,24.4,17.07,24.4,20.73,0.47,-3.67,74.76,70.47,75.26,58.0,-3.67,3.66,51.49,67.09,2323.0,2428.0,2604.0,2452.0,41.76,,,,455.6,1.0,9.0
TFSA,TFSA,-,,,12.0,05/29/2025,2/10/2023,3/31/2026,0.44,7.00%,,,-,-,,8.0,,,,,,24.65,,,24.48,23.98,0.67,2.8,23.37,26.85,21.6,27.58,24.25,0.88,-2.6,44.78,36.8,67.89,43.24,-3.33,2.65,47.44,72.86,522.0,619.0,238.0,460.0,42.16,,,,328.09,1.0,1.0
TFSA,TFSA,-,,,12.0,05/29/2025,2/10/2023,3/31/2026,0.44,7.00%,,,-,-,,8.0,,,,,,24.65,,,24.48,23.98,0.67,2.8,23.37,26.85,21.6,27.58,24.25,0.88,-2.6,44.78,36.8,67.89,43.24,-3.33,2.65,47.44,72.86,522.0,619.0,238.0,460.0,42.16,,,,328.09,1.0,1.0
TFSA,TFSA,-,,,12.0,05/29/2025,2/10/2023,3/31/2026,0.44,7.00%,,,-,-,,8.0,,,,,,24.65,,,24.48,23.98,0.67,2.8,23.37,26.85,21.6,27.58,24.25,0.88,-2.6,44.78,36.8,67.89,43.24,-3.33,2.65,47.44,72.86,522.0,619.0,238.0,460.0,42.16,,,,328.09,1.0,1.0
TFSA,TFSA,-,,,12.0,05/29/2025,2/10/2023,3/31/2026,0.44,7.00%,,,-,-,,8.0,,,,,,24.65,,,24.48,23.98,0.67,2.8,23.37,26.85,21.6,27.58,24.25,0.88,-2.6,44.78,36.8,67.89,43.24,-3.33,2.65,47.44,72.86,522.0,619.0,238.0,460.0,42.16,,,,328.09,1.0,1.0
TFSA,TFSA,-,,,12.0,05/29/2025,2/10/2023,3/31/2026,0.44,7.00%,,,-,-,,8.0,,,,,,24.65,,,24.48,23.98,0.67,2.8,23.37,26.85,21.6,27.58,24.25,0.88,-2.6,44.78,36.8,67.89,43.24,-3.33,2.65,47.44,72.86,522.0,619.0,238.0,460.0,42.16,,,,328.09,1.0,1.0
TPGXL,TPGXL,TPG,,BB,8.0,06/12/2025,3/15/2029,3/15/2064,0.43,6.95%,,,110.28,Assetmanagement,,22.0,,,,,,24.58,,,25.02,25.67,-1.77,-4.24,23.53,26.43,23.53,27.0,24.26,0.73,-2.17,56.58,61.75,70.58,37.31,-2.74,0.73,40.4,83.83,18179.0,15960.0,10566.0,14902.0,53.96,,,,430.3,1.0,0.0
TRINI,TRINI,TRIN,,BB,9.0,06/09/2025,9/30/2026,9/30/2029,0.49,7.88%,,,64.65,Assetmanagement,,19.0,,,,,,25.46,,,,,,,24.66,26.88,24.05,26.88,25.07,0.41,-1.81,44.14,40.14,76.34,32.34,-1.81,1.02,29.31,82.17,20706.0,23247.0,8241.0,17398.0,55.2,,,,366.84,1.0,8.0
TRTN PRA,TRTN-A,-,,,9.0,06/09/2025,3/15/2024,NONE,0.53,8.50%,26.49,25.0,-,-,,19.0,,,,,,25.5,0.5,-0.99,25.41,25.67,0.35,-0.67,23.96,26.55,23.96,26.83,25.08,1.12,-1.47,46.32,49.1,63.57,27.66,-1.75,1.12,28.6,81.6,4679.0,5802.0,6263.0,5581.0,42.16,,,,346.61,1.0,8.0
TRTN PRA,TRTN-A,-,,,9.0,06/09/2025,3/15/2024,NONE,0.53,8.50%,26.49,25.0,-,-,,19.0,,,,,,25.5,0.5,-0.99,25.41,25.67,0.35,-0.67,23.96,26.55,23.96,26.83,25.08,1.12,-1.47,46.32,49.1,63.57,27.66,-1.75,1.12,28.6,81.6,4679.0,5802.0,6263.0,5581.0,42.16,,,,346.61,1.0,8.0
TRTN PRA,TRTN-A,-,,,9.0,06/09/2025,3/15/2024,NONE,0.53,8.50%,26.49,25.0,-,-,,19.0,,,,,,25.5,0.5,-0.99,25.41,25.67,0.35,-0.67,23.96,26.55,23.96,26.83,25.08,1.12,-1.47,46.32,49.1,63.57,27.66,-1.75,1.12,28.6,81.6,4679.0,5802.0,6263.0,5581.0,42.16,,,,346.61,1.0,8.0
TRTN PRA,TRTN-A,-,,,9.0,06/09/2025,3/15/2024,NONE,0.53,8.50%,26.49,25.0,-,-,,19.0,,,,,,25.5,0.5,-0.99,25.41,25.67,0.35,-0.67,23.96,26.55,23.96,26.83,25.08,1.12,-1.47,46.32,49.1,63.57,27.66,-1.75,1.12,28.6,81.6,4679.0,5802.0,6263.0,5581.0,42.16,,,,346.61,1.0,8.0
TRTN PRA,TRTN-A,-,,,9.0,06/09/2025,3/15/2024,NONE,0.53,8.50%,26.49,25.0,-,-,,19.0,,,,,,25.5,0.5,-0.99,25.41,25.67,0.35,-0.67,23.96,26.55,23.96,26.83,25.08,1.12,-1.47,46.32,49.1,63.57,27.66,-1.75,1.12,28.6,81.6,4679.0,5802.0,6263.0,5581.0,42.16,,,,346.61,1.0,8.0
TRTN PRB,TRTN-B,-,,,9.0,06/09/2025,9/15/2024,NONE,0.5,8.00%,26.63,23.67,-,-,,19.0,,,,,,24.53,0.86,-2.1,24.88,25.15,-1.39,-2.45,22.75,25.7,22.75,25.95,24.14,1.39,-1.56,54.74,55.41,58.72,28.9,-1.81,1.39,29.31,80.06,6675.0,7685.0,13646.0,9335.0,42.16,,,,375.61,1.0,9.0
TRTN PRB,TRTN-B,-,,,9.0,06/09/2025,9/15/2024,NONE,0.5,8.00%,26.63,23.67,-,-,,19.0,,,,,,24.53,0.86,-2.1,24.88,25.15,-1.39,-2.45,22.75,25.7,22.75,25.95,24.14,1.39,-1.56,54.74,55.41,58.72,28.9,-1.81,1.39,29.31,80.06,6675.0,7685.0,13646.0,9335.0,42.16,,,,375.61,1.0,9.0
TRTN PRB,TRTN-B,-,,,9.0,06/09/2025,9/15/2024,NONE,0.5,8.00%,26.63,23.67,-,-,,19.0,,,,,,24.53,0.86,-2.1,24.88,25.15,-1.39,-2.45,22.75,25.7,22.75,25.95,24.14,1.39,-1.56,54.74,55.41,58.72,28.9,-1.81,1.39,29.31,80.06,6675.0,7685.0,13646.0,9335.0,42.16,,,,375.61,1.0,9.0
TRTN PRB,TRTN-B,-,,,9.0,06/09/2025,9/15/2024,NONE,0.5,8.00%,26.63,23.67,-,-,,19.0,,,,,,24.53,0.86,-2.1,24.88,25.15,-1.39,-2.45,22.75,25.7,22.75,25.95,24.14,1.39,-1.56,54.74,55.41,58.72,28.9,-1.81,1.39,29.31,80.06,6675.0,7685.0,13646.0,9335.0,42.16,,,,375.61,1.0,9.0
TRTN PRB,TRTN-B,-,,,9.0,06/09/2025,9/15/2024,NONE,0.5,8.00%,26.63,23.67,-,-,,19.0,,,,,,24.53,0.86,-2.1,24.88,25.15,-1.39,-2.45,22.75,25.7,22.75,25.95,24.14,1.39,-1.56,54.74,55.41,58.72,28.9,-1.81,1.39,29.31,80.06,6675.0,7685.0,13646.0,9335.0,42.16,,,,375.61,1.0,9.0
TRTN PRC,TRTN-C,-,,,9.0,06/09/2025,12/15/2024,NONE,0.46,7.38%,26.1,22.32,-,-,,19.0,,,,,,22.99,0.67,-3.11,23.76,24.5,-3.26,-6.16,21.93,25.56,21.93,26.17,22.63,0.7,-2.93,63.78,68.56,71.12,47.79,-3.54,0.7,49.94,84.0,9930.0,12000.0,15706.0,12545.0,42.16,,,,432.82,1.0,5.0
TRTN PRC,TRTN-C,-,,,9.0,06/09/2025,12/15/2024,NONE,0.46,7.38%,26.1,22.32,-,-,,19.0,,,,,,22.99,0.67,-3.11,23.76,24.5,-3.26,-6.16,21.93,25.56,21.93,26.17,22.63,0.7,-2.93,63.78,68.56,71.12,47.79,-3.54,0.7,49.94,84.0,9930.0,12000.0,15706.0,12545.0,42.16,,,,432.82,1.0,5.0
TRTN PRC,TRTN-C,-,,,9.0,06/09/2025,12/15/2024,NONE,0.46,7.38%,26.1,22.32,-,-,,19.0,,,,,,22.99,0.67,-3.11,23.76,24.5,-3.26,-6.16,21.93,25.56,21.93,26.17,22.63,0.7,-2.93,63.78,68.56,71.12,47.79,-3.54,0.7,49.94,84.0,9930.0,12000.0,15706.0,12545.0,42.16,,,,432.82,1.0,5.0
TRTN PRC,TRTN-C,-,,,9.0,06/09/2025,12/15/2024,NONE,0.46,7.38%,26.1,22.32,-,-,,19.0,,,,,,22.99,0.67,-3.11,23.76,24.5,-3.26,-6.16,21.93,25.56,21.93,26.17,22.63,0.7,-2.93,63.78,68.56,71.12,47.79,-3.54,0.7,49.94,84.0,9930.0,12000.0,15706.0,12545.0,42.16,,,,432.82,1.0,5.0
TRTN PRC,TRTN-C,-,,,9.0,06/09/2025,12/15/2024,NONE,0.46,7.38%,26.1,22.32,-,-,,19.0,,,,,,22.99,0.67,-3.11,23.76,24.5,-3.26,-6.16,21.93,25.56,21.93,26.17,22.63,0.7,-2.93,63.78,68.56,71.12,47.79,-3.54,0.7,49.94,84.0,9930.0,12000.0,15706.0,12545.0,42.16,,,,432.82,1.0,5.0
TRTN PRF,TRTN-F,-,,,19.5,05/30/2025,3/15/2030,NONE,0.48,7.63%,,,-,-,,9.0,,,,,,24.1,,,,,,,23.2,25.35,23.2,25.35,23.68,0.48,-1.67,44.14,40.14,75.08,30.41,-1.67,0.48,27.65,85.26,33274.0,33274.0,9171.0,25240.0,42.16,,,,335.92,1.0,7.0
TRTN PRF,TRTN-F,-,,,19.5,05/30/2025,3/15/2030,NONE,0.48,7.63%,,,-,-,,9.0,,,,,,24.1,,,,,,,23.2,25.35,23.2,25.35,23.68,0.48,-1.67,44.14,40.14,75.08,30.41,-1.67,0.48,27.65,85.26,33274.0,33274.0,9171.0,25240.0,42.16,,,,335.92,1.0,7.0
TRTN PRF,TRTN-F,-,,,19.5,05/30/2025,3/15/2030,NONE,0.48,7.63%,,,-,-,,9.0,,,,,,24.1,,,,,,,23.2,25.35,23.2,25.35,23.68,0.48,-1.67,44.14,40.14,75.08,30.41,-1.67,0.48,27.65,85.26,33274.0,33274.0,9171.0,25240.0,42.16,,,,335.92,1.0,7.0
TRTN PRF,TRTN-F,-,,,19.5,05/30/2025,3/15/2030,NONE,0.48,7.63%,,,-,-,,9.0,,,,,,24.1,,,,,,,23.2,25.35,23.2,25.35,23.68,0.48,-1.67,44.14,40.14,75.08,30.41,-1.67,0.48,27.65,85.26,33274.0,33274.0,9171.0,25240.0,42.16,,,,335.92,1.0,7.0
TRTN PRF,TRTN-F,-,,,19.5,05/30/2025,3/15/2030,NONE,0.48,7.63%,,,-,-,,9.0,,,,,,24.1,,,,,,,23.2,25.35,23.2,25.35,23.68,0.48,-1.67,44.14,40.14,75.08,30.41,-1.67,0.48,27.65,85.26,33274.0,33274.0,9171.0,25240.0,42.16,,,,335.92,1.0,7.0
TVC,TVC,GOOGL,,,19.5,07/28/2025,,6/1/2028,0.13,2.13%,,,9990.00,-,,68.0,,,,,,23.65,,,23.37,22.92,1.21,3.17,22.53,25.33,21.0,25.33,23.62,1.09,-1.71,42.16,35.49,64.11,30.97,-1.71,2.62,28.12,73.03,17198.0,19891.0,10492.0,15860.0,87.46,,,,428.41,1.0,0.0
TVE,TVE,GOOGL,,,8.0,07/10/2025,,5/1/2029,0.14,2.22%,,,9990.00,-,,50.0,,,,,,23.28,,,22.99,22.49,1.27,3.49,22.11,25.3,20.72,25.3,23.22,1.11,-2.08,41.87,34.35,63.75,36.07,-2.08,2.5,32.53,73.71,15547.0,16463.0,7824.0,13278.0,87.46,,,,427.68,1.0,0.0
TWO PRA,TWO-A,TWO,NFF,,8.0,07/10/2025,4/26/2027,NONE,0.51,8.13%,,,103.74,Reit,,50.0,,,,,,23.01,,,24.11,24.08,-4.54,-4.44,21.52,25.39,18.85,25.39,22.78,1.26,-2.61,69.98,62.46,61.06,43.38,-2.61,3.93,38.85,65.54,6520.0,7312.0,13603.0,9145.0,45.06,,,,430.56,1.0,2.0
TWO PRB,TWO-B,TWO,NFF,,8.0,07/10/2025,7/27/2027,NONE,0.48,7.63%,,,103.74,Reit,,50.0,,,,,,22.84,,,23.5,23.6,-2.82,-3.23,21.27,25.43,17.9,25.43,22.63,1.36,-2.8,61.66,58.17,59.26,46.0,-2.8,4.73,41.12,60.97,11035.0,10930.0,9322.0,10429.0,45.06,,,,404.68,1.0,2.0
TWO PRC,TWO-C,TWO,FF,,8.0,05/29/2025,1/27/2025,NONE,0.6,7.25%,,,103.74,Reit,,8.0,,,,,,24.17,,,24.49,24.4,-1.3,-0.95,22.25,25.2,18.55,25.2,23.62,1.37,-1.58,54.3,50.09,59.08,29.17,-1.58,5.07,26.57,59.03,22797.0,29916.0,27854.0,26856.0,45.06,,,,370.39,1.0,2.0
UCB PRI,UCB-I,UCB,,,8.0,05/15/2025,9/15/2025,NONE,0.43,6.88%,,,119.46,Regionalbank,,84.0,,,,,,24.37,,,24.65,24.46,-1.12,-0.36,23.5,25.34,18.38,25.34,24.34,0.84,-1.0,53.43,48.0,68.61,21.17,-1.0,5.96,19.66,53.94,5314.0,5508.0,4282.0,5035.0,54.53,,,,380.27,1.0,6.0
UMH PRD,UMH-D,UMH,,,12.5,06/27/2025,1/22/2023,NONE,0.4,6.38%,25.57,20.85,83.91,Reit,,37.0,,,,,,22.19,1.34,-3.38,22.44,23.0,-1.11,-3.52,20.99,24.38,19.83,24.42,21.95,0.96,-2.43,53.39,59.2,66.45,40.9,-2.47,2.12,37.18,75.89,20678.0,19223.0,9877.0,16593.0,55.38,,,,419.6,1.0,9.0
USB PRH,USB-H,USB,FLR,,8.0,06/12/2025,4/15/2011,NONE,0.32,3.50%,,,1557.99,Regionalbank,,22.0,,,,,,21.0,,,22.09,21.89,-4.93,-4.07,18.91,24.0,17.27,24.0,20.76,1.85,-3.24,71.86,61.15,50.45,52.07,-3.24,3.49,46.36,68.06,65294.0,57311.0,65779.0,62795.0,66.87,37.84,52.64,71.44,502.56,1.0,5.0
USB PRH,USB-H,USB,FLR,,8.0,06/12/2025,4/15/2011,NONE,0.32,3.50%,,,1557.99,Regionalbank,,22.0,,,,,,21.0,,,22.09,21.89,-4.93,-4.07,18.91,24.0,17.27,24.0,20.76,1.85,-3.24,71.86,61.15,50.45,52.07,-3.24,3.49,46.36,68.06,65294.0,57311.0,65779.0,62795.0,66.87,37.84,52.64,71.44,502.56,1.0,5.0
USB PRH,USB-H,USB,FLR,,8.0,06/12/2025,4/15/2011,NONE,0.32,3.50%,,,1557.99,Regionalbank,,22.0,,,,,,21.0,,,22.09,21.89,-4.93,-4.07,18.91,24.0,17.27,24.0,20.76,1.85,-3.24,71.86,61.15,50.45,52.07,-3.24,3.49,46.36,68.06,65294.0,57311.0,65779.0,62795.0,66.87,37.84,52.64,71.44,502.56,1.0,5.0
USB PRH,USB-H,USB,FLR,,8.0,06/12/2025,4/15/2011,NONE,0.32,3.50%,,,1557.99,Regionalbank,,22.0,,,,,,21.0,,,22.09,21.89,-4.93,-4.07,18.91,24.0,17.27,24.0,20.76,1.85,-3.24,71.86,61.15,50.45,52.07,-3.24,3.49,46.36,68.06,65294.0,57311.0,65779.0,62795.0,66.87,37.84,52.64,71.44,502.56,1.0,5.0
VLYPN,VLYPN,VLY,NFF,,8.0,06/13/2025,9/30/2029,NONE,0.52,8.25%,,,559.85,Regionalbank,,23.0,,,,,,25.51,,,,,,,23.75,26.88,23.75,26.88,25.12,1.37,-1.76,44.14,40.14,59.08,31.66,-1.76,1.37,28.72,80.17,18335.0,15784.0,7641.0,13920.0,52.89,,,,354.97,1.0,0.0
VLYPO,VLYPO,VLY,FF,,8.0,06/13/2025,9/30/2022,NONE,0.52,5.50%,,,559.85,Regionalbank,,23.0,,,,,,24.96,,,24.86,24.76,0.42,0.81,22.73,25.77,19.61,26.01,24.57,1.84,-1.2,45.99,43.85,50.63,23.93,-1.44,4.96,24.9,59.66,6489.0,6131.0,4153.0,5591.0,52.89,,,,352.11,1.0,6.0
VLYPP,VLYPP,VLY,NFF,,10.0,05/27/2025,6/30/2025,NONE,0.39,6.25%,,,559.85,Regionalbank,,6.0,,,,,,25.13,,,24.72,23.99,1.65,4.76,21.71,25.68,15.5,25.68,24.77,3.06,-0.91,40.04,29.85,28.7,19.93,-0.91,9.27,18.58,35.03,9717.0,9204.0,4479.0,7800.0,52.89,,,,300.32,1.0,3.0
VOYA PRB,VOYA-B,VOYA,NFF,,8.0,06/13/2025,9/15/2029,NONE,0.33,5.35%,,,96.09,Financialconglomerates,,23.0,,,,,,24.26,,,24.18,24.66,0.39,-1.57,22.81,26.63,19.83,26.63,24.02,1.21,-2.61,46.13,52.29,61.96,43.38,-2.61,4.19,38.85,64.06,17351.0,18052.0,13003.0,16135.0,58.49,,,,395.9,1.0,5.0
WAL PRA,WAL-A,WAL,NFF,,10.0,06/30/2025,9/30/2026,NONE,0.27,4.25%,,,110.43,Regionalbank,,40.0,,,,,,21.61,,,21.91,20.59,-1.37,4.95,19.57,23.0,13.04,23.0,21.46,1.89,-1.54,54.64,29.18,49.73,28.62,-1.54,8.42,26.1,39.89,41807.0,37450.0,35523.0,38260.0,57.79,,,,361.93,1.0,11.0
WBS PRG,WBS-G,WBS,,,8.0,06/13/2025,4/15/2018,NONE,0.41,6.50%,25.24,20.25,168.44,Regionalbank,,23.0,,,,,,23.98,3.73,-1.26,23.41,23.6,2.41,1.59,21.26,25.26,18.12,25.26,23.67,2.41,-1.59,36.36,41.09,40.38,29.31,-1.59,5.55,26.69,56.29,8576.0,10194.0,5357.0,8043.0,59.86,37.13,42.57,75.46,342.49,1.0,6.0
WCC PRA,WCC-A,WCC,NFF,,8.0,05/28/2025,6/22/2025,NONE,0.66,10.63%,,,48.81,Industrialdistribution,,7.0,,,,,,25.5,,,25.56,25.91,-0.23,-1.59,25.24,26.48,25.24,27.39,24.89,-0.35,-1.59,49.13,52.36,90.0,29.31,-2.5,-0.35,37.54,90.0,54381.0,62341.0,70414.0,62379.0,58.66,,,,425.56,1.0,9.0
WHFCL,WHFCL,WHF,,BB,8.0,07/28/2025,9/15/2025,9/15/2028,0.49,7.88%,,24.85,23.24,Assetmanagement,,68.0,,,,,,25.45,0.6,,25.34,25.34,0.44,0.42,25.01,25.73,24.54,27.41,25.33,0.32,-0.4,45.89,45.23,77.96,12.9,-2.08,0.79,32.53,83.49,2164.0,2206.0,2102.0,2157.0,44.84,,,,346.38,1.0,1.0
WSBCP,WSBCP,WSBC,NFF,,8.0,07/01/2025,11/15/2025,NONE,0.42,6.75%,,,95.79,Regionalbank,,41.0,,,,,,25.17,,,25.18,25.0,-0.05,0.69,24.42,25.6,21.01,25.6,24.94,0.52,-0.66,48.26,44.28,74.36,16.48,-0.66,3.93,15.6,65.54,7208.0,6100.0,7776.0,7028.0,55.1,,,,367.23,1.0,6.0
WTFCM,WTFCM,WTFC,NFF,,8.0,07/01/2025,7/15/2025,NONE,0.41,6.50%,,,66.87,Regionalbank,,41.0,,,,,,25.1,,,25.07,24.87,0.12,0.93,24.34,25.5,20.46,25.5,24.88,0.54,-0.62,47.44,43.42,74.0,15.93,-0.62,4.42,15.13,62.74,7727.0,9257.0,23479.0,13488.0,61.05,,,,379.27,1.0,6.0
WTFCP,WTFCP,WTFC,NFF,,8.0,07/14/2025,7/15/2025,NONE,0.43,6.88%,,,66.87,Regionalbank,,54.0,,,,,,25.16,,,25.16,25.09,0.01,0.28,24.68,25.49,22.47,25.49,24.99,0.31,-0.5,47.97,45.73,78.13,14.28,-0.5,2.52,13.7,73.6,36638.0,48974.0,35836.0,40483.0,61.05,,,,394.63,1.0,6.0
XFLT PRA,XFLT-A,XFLT,,,8.0,06/30/2025,3/31/2023,3/31/2026,0.41,6.50%,25.46,24.54,76.12,Cef,,40.0,,,,,,25.14,0.6,-0.32,25.12,24.96,0.1,0.72,24.61,25.45,24.21,25.45,24.91,0.3,-0.54,47.53,44.17,78.31,14.83,-0.54,0.7,14.17,84.0,3153.0,2176.0,1221.0,2183.0,46.7,,,,348.98,1.0,1.0
XOMAO,XOMAO,XOMA,,,8.0,06/30/2025,4/15/2022,NONE,0.52,8.38%,25.3,22.56,11.95,Biotechnology,,40.0,,,,,,25.3,2.74,0.0,25.3,25.33,-0.0,-0.11,23.32,25.87,20.43,25.87,25.01,1.69,-0.86,48.02,47.11,53.33,19.24,-0.86,4.58,17.99,61.83,3223.0,2764.0,4362.0,3449.0,46.95,,,,345.16,1.0,8.0
XOMAP,XOMAP,XOMA,,,,30/06/2025,12/15/2021,NONE,0.54,8.63%,25.92,22.76,11.95,Biotechnology,,,,,,,,25.41,2.65,-0.51,25.69,25.63,-1.08,-0.84,24.96,26.51,21.4,26.51,25.41,0.45,-1.1,53.24,49.7,75.62,22.55,-1.1,4.01,20.85,65.09,1253.0,1284.0,954.0,1164.0,46.95,,,,368.57,1.0,1.0
