PREF IBKR,CMON,BOND_,CRDT SCORE_,EX-DIV DATE,CALL DATE,MATUR DATE,DIV AMOUNT,COUPON,Aug2022_Price,Oct19_Price,Last Price,Oct19_diff,Aug2022_diff,SMA88,SMA268,SMA88 chg,SMA268 chg,6M Low,6M High,1Y Low,1Y High,TIME TO DIV,Div adj.price,6M_Low_diff,6M_High_diff,SMA88_chg_norm,SMA268_chg_norm,6M_Low_diff_norm,6M_High_diff_norm,Aug4_chg,Oct19_chg,Aug4_chg_norm,Oct19_chg_norm,1Y_High_diff,1Y_Low_diff,1Y_High_diff_norm,1Y_Low_diff_norm,ADV_6M,ADV_3M,ADV_15D,AVG_ADV,SOLIDITY_SCORE,CUR_YIELD,FINAL_THG,SOLIDITY_WEIGHT_USED,YIELD_WEIGHT_USED,Group
CNO PRA,CNO,BB,NR,11/15/2024,11/25/2025,,0.32,5.13,22.08,14.95,17.54,2.59,-4.54,18.99,20.03,-7.64,-12.45,16.54,22.22,14.56,22.53,83.0,17.52,0.98,-4.7,90.0,79.79,60.03,68.38,-4.56,2.57,58.08,48.78,-5.01,2.96,72.63,64.8,1523.0,1688.0,1302.0,1504.0,55.56,0.07,413.94,2.07,702.15,3
COF PRI,COF,,10,11/13/2024,,,0.31,5.0,23.21,16.12,19.05,2.93,-4.16,19.37,20.03,-1.67,-4.88,17.75,22.04,15.65,22.04,81.0,19.02,1.27,-3.02,55.04,46.75,52.06,44.16,-4.19,2.9,54.3,45.79,-3.02,3.37,43.58,61.04,104414.0,100232.0,88069.0,97571.0,73.19,0.07,399.1,2.07,702.15,10
COF PRJ,COF,,10,11/13/2024,,,0.3,4.8,21.9,15.54,18.14,2.6,-3.76,18.53,19.11,-2.08,-5.08,16.97,20.85,15.05,20.85,81.0,18.11,1.14,-2.74,57.44,47.62,55.64,40.13,-3.79,2.57,50.2,48.78,-2.74,3.06,39.49,63.88,100094.0,98177.0,65506.0,87926.0,73.19,0.07,398.77,2.07,702.15,10
COF PRK,COF,,10,11/13/2024,,,0.29,4.63,22.17,14.99,17.66,2.67,-4.51,17.93,18.84,-1.48,-6.29,16.46,21.07,14.64,21.07,81.0,17.63,1.17,-3.44,53.92,52.9,54.81,50.22,-4.54,2.64,57.88,48.14,-3.44,2.99,49.71,64.52,8615.0,9703.0,6031.0,8116.0,73.19,0.07,389.68,2.07,702.15,10
COF PRL,COF,,10,11/13/2024,,,0.27,4.38,20.06,13.84,16.7,2.86,-3.36,16.95,17.81,-1.46,-6.24,15.42,20.16,13.57,20.16,81.0,16.67,1.25,-3.49,53.81,52.68,52.61,50.94,-3.39,2.83,46.11,46.42,-3.49,3.1,50.44,63.52,47085.0,44641.0,36536.0,42754.0,73.19,0.07,394.77,2.07,702.15,10
COF PRN,COF,,10,11/13/2024,,,0.27,4.25,19.94,13.68,16.54,2.86,-3.4,16.6,17.33,-0.37,-4.55,15.15,19.81,13.26,19.81,81.0,16.51,1.36,-3.3,47.42,45.31,49.59,48.2,-3.43,2.83,46.52,46.42,-3.3,3.25,47.66,62.14,33194.0,30051.0,21749.0,28331.0,73.19,0.06,370.18,2.07,702.15,10
CUBB,CUBI,BB,NR,12/13/2024,,,0.34,5.38,23.56,18.75,20.36,1.61,-3.2,19.81,19.92,2.75,2.2,18.3,21.85,16.5,22.0,21.0,20.1,1.8,-1.75,29.15,15.85,37.49,25.86,-3.46,1.35,46.83,59.83,-1.9,3.6,27.23,58.93,2288.0,2837.0,2262.0,2462.0,47.71,0.07,264.37,2.07,702.15,11
DCOMP,DCOM,,8,11/5/2024,2/15/2025,,0.34,5.5,22.38,14.51,18.89,4.37,-3.5,19.31,18.99,-2.21,-0.56,17.51,21.44,13.3,21.44,73.0,18.82,1.31,-2.62,58.2,27.89,50.96,38.4,-3.56,4.31,47.85,33.01,-2.62,5.52,37.74,41.34,6032.0,4343.0,4083.0,4819.0,24.59,0.07,242.23,2.07,702.15,3
DLR PRJ,DLR,,10.5,12/13/2024,,,0.33,5.25,25.38,19.55,21.37,1.82,-4.01,21.31,22.23,0.3,-3.86,20.02,24.63,19.06,24.63,21.0,21.12,1.1,-3.51,43.5,42.3,56.74,51.23,-4.26,1.57,55.01,57.84,-3.51,2.06,50.73,73.05,12968.0,13618.0,10308.0,12298.0,70.24,0.06,369.42,2.07,702.15,2
DLR PRK,DLR,,10.5,12/13/2024,,,0.37,5.88,26.4,22.0,23.22,1.22,-3.18,23.54,24.17,-1.35,-3.92,22.1,25.61,21.4,25.61,21.0,22.94,0.84,-2.67,53.16,42.56,63.88,39.12,-3.46,0.94,46.83,63.54,-2.67,1.54,38.47,77.81,13726.0,15636.0,26698.0,18687.0,70.24,0.06,373.44,2.07,702.15,2
DLR PRL,DLR,,10.5,12/13/2024,,,0.33,5.2,25.37,19.32,20.56,1.24,-4.81,20.78,21.89,-1.05,-6.07,19.61,24.45,19.01,24.45,21.0,20.31,0.7,-4.14,51.41,51.94,67.73,60.31,-5.06,0.99,63.2,63.09,-4.14,1.3,59.93,80.01,18512.0,23131.0,17889.0,19844.0,70.24,0.06,401.04,2.07,702.15,2
DTB,DTE,BB,11.5,12/27/2024,,,0.27,4.38,22.29,17.3,17.39,0.09,-4.9,18.14,19.36,-4.11,-10.16,16.98,21.9,16.98,22.86,35.0,17.23,0.25,-4.67,69.33,69.79,80.1,67.95,-5.06,-0.07,63.2,72.7,-5.63,0.25,81.68,89.63,14381.0,12277.0,11516.0,12725.0,74.39,0.06,456.44,2.07,702.15,10
DTG,DTE,BB,11.5,11/15/2024,,,0.27,4.38,20.89,17.32,17.33,0.01,-3.56,18.13,19.43,-4.39,-10.8,16.88,22.05,16.88,22.25,83.0,17.31,0.43,-4.74,70.97,72.59,75.15,68.95,-3.58,-0.01,48.06,72.15,-4.94,0.43,71.61,87.98,21796.0,23542.0,16612.0,20650.0,74.39,0.06,453.5,2.07,702.15,9
DTW,DTE,BB,11.5,11/15/2024,12/1/2022,,0.33,5.25,25.42,20.88,21.37,0.48,-4.06,22.01,23.02,-2.97,-7.22,20.55,25.11,20.42,25.17,83.0,21.33,0.78,-3.78,62.65,56.96,65.53,55.12,-4.09,0.45,53.27,67.98,-3.84,0.91,55.55,83.59,22355.0,19050.0,15083.0,18829.0,74.39,0.06,417.87,2.07,702.15,2
DUK PRA,DUK,,11,11/15/2024,,,0.36,5.75,26.49,22.91,24.78,1.87,-1.71,24.9,25.0,-0.46,-0.86,24.06,25.66,22.71,25.73,83.0,24.75,0.69,-0.91,47.95,29.2,68.01,13.75,-1.74,1.84,29.23,55.39,-0.98,2.04,13.8,73.23,57602.0,62023.0,51006.0,56877.0,76.02,0.06,356.08,2.07,702.15,4
DUKB,DUK,BB,12,12/13/2024,,,0.35,5.63,26.08,21.93,24.92,2.99,-1.16,24.51,24.69,1.66,0.93,23.3,25.47,21.8,25.59,21.0,24.65,1.35,-0.82,35.53,21.39,49.86,12.45,-1.43,2.72,26.06,47.42,-0.94,2.85,13.21,65.81,25702.0,29362.0,27142.0,27402.0,77.54,0.06,324.1,2.07,702.15,4
ECF PRA,ECF,,16,12/16/2024,,,0.33,5.25,24.84,21.83,21.57,-0.26,-3.27,22.05,22.52,-2.17,-4.22,20.21,24.43,20.21,24.43,24.0,21.33,1.12,-3.1,57.96,43.87,56.19,45.32,-3.51,-0.5,47.34,76.59,-3.1,1.12,44.74,81.66,1841.0,1006.0,977.0,1275.0,60.69,0.06,361.0,2.07,702.15,0
EFSCP,EFSC,,NR,11/27/2024,,,0.31,5.0,21.75,15.4,19.11,3.75,-2.6,18.96,19.63,0.98,-2.44,17.2,22.22,13.68,22.22,5.0,18.86,1.66,-3.36,39.52,36.1,41.34,49.06,-2.89,3.46,41.0,40.71,-3.36,5.18,48.54,44.46,2603.0,2453.0,2304.0,2453.0,23.06,0.07,241.41,2.07,702.15,11
ELC,ETR,BB,15,11/29/2024,,,0.3,4.88,25.3,20.02,20.5,0.48,-4.8,20.93,21.74,-2.05,-5.72,19.93,23.43,19.86,23.59,7.0,20.22,0.29,-3.21,57.26,50.41,79.0,46.9,-5.08,0.2,63.4,70.25,-3.37,0.36,48.69,88.63,13611.0,10793.0,9926.0,11444.0,80.79,0.06,424.21,2.07,702.15,9
EMP,ETR,BB,14.5,12/27/2024,,,0.31,4.9,25.3,20.07,20.57,0.5,-4.73,21.01,21.97,-2.11,-6.38,20.01,23.61,19.9,24.23,35.0,20.38,0.37,-3.23,57.61,53.3,76.8,47.19,-4.92,0.31,61.76,69.25,-3.85,0.48,55.69,87.53,12317.0,11458.0,13314.0,12363.0,80.79,0.06,427.96,2.07,702.15,9
ENJ,ETR,BB,14.5,11/29/2024,12/1/2017,,0.31,5.0,24.79,19.49,20.52,1.03,-4.27,21.02,21.8,-2.39,-5.87,20.02,24.59,19.31,24.59,7.0,20.23,0.21,-4.36,59.25,51.07,81.2,63.48,-4.56,0.74,58.08,65.36,-4.36,0.92,63.14,83.49,1724.0,1596.0,869.0,1396.0,80.79,0.06,430.44,2.07,702.15,11
ENO,ETR,BB,13,12/27/2024,,,0.34,5.5,25.4,20.75,22.27,1.52,-3.13,22.21,23.14,0.29,-3.74,21.21,25.32,20.5,25.32,35.0,22.06,0.85,-3.26,43.56,41.77,63.61,47.62,-3.34,1.31,45.6,60.19,-3.26,1.56,47.08,77.63,7679.0,9277.0,5497.0,7484.0,80.79,0.06,390.52,2.07,702.15,4
EQH PRA,EQH,,10.5,11/29/2024,,,0.33,5.25,23.77,17.79,20.13,2.34,-3.64,20.77,21.79,-3.1,-7.64,18.41,23.89,17.26,23.89,7.0,19.83,1.42,-4.06,63.41,58.79,47.94,59.15,-3.94,2.04,51.74,53.58,-4.06,2.57,58.76,68.37,45386.0,46900.0,52007.0,48098.0,67.83,0.07,405.77,2.07,702.15,9
EQH PRC,EQH,,10.5,11/29/2024,,,0.27,4.3,21.08,13.95,16.5,2.55,-4.58,17.41,18.3,-5.23,-9.83,15.83,20.69,13.35,20.69,7.0,16.25,0.42,-4.44,75.89,68.35,75.43,64.63,-4.83,2.3,60.84,51.22,-4.44,2.9,64.31,65.35,21647.0,25175.0,20576.0,22466.0,67.83,0.07,428.49,2.07,702.15,10
ETI PR,ETR,,10,12/30/2024,,,0.34,5.38,25.5,21.75,22.92,1.17,-2.58,23.76,23.75,-3.55,-3.5,22.71,25.23,21.39,25.43,38.0,22.72,0.01,-2.51,66.05,40.73,86.7,36.81,-2.78,0.97,39.87,63.27,-2.71,1.33,39.05,79.74,2054.0,1542.0,1913.0,1836.0,79.21,0.06,400.77,2.07,702.15,7
F PRB,F,BB,9.5,11/12/2024,6/1/2024,,0.39,6.2,26.79,20.83,20.44,-0.39,-6.35,22.12,23.59,-7.58,-13.35,19.9,25.39,19.9,25.64,80.0,20.4,0.5,-4.99,89.65,83.72,73.23,72.56,-6.39,-0.43,76.8,75.96,-5.24,0.5,75.99,87.34,41036.0,43836.0,41555.0,42143.0,56.6,0.08,465.44,2.07,702.15,9
F PRC,F,BB,9,11/12/2024,12/1/2024,,0.38,6.0,25.99,20.49,20.25,-0.24,-5.74,21.56,23.2,-6.08,-12.73,19.2,25.35,19.2,25.38,80.0,20.21,1.01,-5.14,80.86,81.01,59.21,74.72,-5.78,-0.28,70.56,74.6,-5.17,1.01,74.96,82.67,47936.0,46897.0,43275.0,46036.0,56.6,0.07,443.67,2.07,702.15,9
FBRT PRE,FBRT,,NR,12/27/2024,,,0.47,7.5,21.68,18.2,20.42,2.22,-1.26,20.8,21.45,-1.83,-4.81,19.05,23.65,18.03,23.65,35.0,20.13,1.08,-3.52,55.97,46.44,57.29,51.37,-1.55,1.93,27.29,54.58,-3.52,2.1,50.88,72.68,14012.0,13585.0,11234.0,12944.0,25.18,0.09,302.81,2.07,702.15,5
FCNCO,FCNCA,,9.5,11/27/2024,,,0.35,5.63,24.08,19.4,22.71,3.34,-1.34,22.44,22.94,1.34,-0.88,20.57,24.83,18.91,24.83,5.0,22.41,1.84,-2.42,37.41,29.29,36.39,35.51,-1.67,3.01,28.52,44.79,-2.42,3.5,34.82,59.85,13053.0,12312.0,13033.0,12799.0,61.49,0.06,303.46,2.07,702.15,1
FCNCP,FCNCA,,9.5,11/27/2024,,,0.34,5.38,23.66,18.85,21.2,2.39,-2.42,21.72,22.36,-2.22,-5.03,19.3,24.42,18.69,24.42,5.0,20.92,1.62,-3.5,58.26,47.4,42.44,51.08,-2.74,2.07,39.46,53.31,-3.5,2.23,50.58,71.49,14527.0,17733.0,15314.0,15858.0,61.49,0.06,355.69,2.07,702.15,1
FHN PRF,FHN,,8.5,12/20/2024,,,0.29,4.7,,,17.7,,,17.77,18.37,-0.39,-3.64,16.41,21.48,13.13,21.48,28.0,17.5,1.09,-3.98,47.54,41.34,57.01,58.0,,,34.08,44.64,-3.98,4.37,57.59,51.88,6442.0,5900.0,3943.0,5428.0,59.13,0.07,341.31,2.07,702.15,6
FITBO,FITB,,10.5,12/26/2024,,,0.31,4.95,25.79,17.93,21.61,3.68,-4.18,21.8,21.83,-0.89,-1.01,19.52,24.15,17.58,24.15,34.0,21.42,1.9,-2.73,50.47,29.86,34.74,39.98,-4.37,3.49,56.14,40.44,-2.73,3.84,39.34,56.74,19171.0,19739.0,24708.0,21206.0,63.21,0.06,322.15,2.07,702.15,10
FITBP,FITB,,NR,12/26/2024,,,0.38,6.0,25.6,22.13,24.4,2.37,-1.1,24.54,24.42,-0.17,0.32,23.04,25.9,21.01,25.9,34.0,24.26,1.22,-1.64,46.25,24.05,53.44,24.27,-1.34,2.13,25.14,52.76,-1.64,3.25,23.43,62.14,8723.0,9049.0,10249.0,9340.0,63.21,0.06,307.75,2.07,702.15,4
FRT PRC,FRT,,12.5,1/2/2025,,,0.31,5.0,25.75,19.64,20.32,0.68,-5.43,20.92,21.45,-2.88,-5.28,19.41,23.27,18.57,23.9,41.0,20.15,0.74,-3.12,62.12,48.49,66.63,45.6,-5.6,0.51,68.72,67.44,-3.75,1.58,54.23,77.45,6414.0,5950.0,5346.0,5904.0,42.08,0.06,336.36,2.07,702.15,2
FULTP,FULT,,11,12/2/2024,,,0.32,5.13,23.1,15.09,18.9,3.85,-4.16,19.52,19.31,-2.97,-1.9,17.25,21.22,14.56,21.22,10.0,18.66,1.41,-2.56,62.65,33.74,48.21,37.53,-4.44,3.57,56.85,39.72,-2.56,4.1,36.86,54.35,9295.0,6598.0,2630.0,6175.0,56.18,0.07,323.54,2.07,702.15,1
GAB PRG,GAB,,16,12/16/2024,,,0.31,5.0,24.5,21.0,21.05,0.05,-3.45,21.24,21.86,-0.88,-3.7,20.17,24.2,20.17,24.2,24.0,20.82,0.65,-3.38,50.41,41.6,69.11,49.35,-3.68,-0.18,49.08,73.69,-3.38,0.65,48.83,85.97,4042.0,5020.0,2833.0,3965.0,67.41,0.06,377.54,2.07,702.15,7
GAB PRH,GAB,,16,12/16/2024,,,0.31,5.0,23.89,20.98,21.02,0.04,-2.87,21.25,21.9,-1.09,-4.02,20.4,24.24,20.4,24.24,24.0,20.79,0.39,-3.45,51.64,43.0,76.25,50.36,-3.1,-0.19,43.15,73.78,-3.45,0.39,49.85,88.35,8656.0,9242.0,3986.0,7295.0,67.41,0.06,383.57,2.07,702.15,7
GAB PRK,GAB,,16,12/16/2024,,,0.31,5.0,24.4,21.23,21.17,-0.07,-3.24,21.28,21.91,-0.59,-3.44,20.5,24.25,20.5,24.25,24.0,20.93,0.43,-3.32,48.71,40.46,75.15,48.49,-3.47,-0.3,46.93,74.78,-3.32,0.43,47.96,87.98,7293.0,7754.0,4518.0,6522.0,67.41,0.06,378.47,2.07,702.15,7
GDV PRH,GDV,,17,12/16/2024,,,0.34,5.38,25.85,22.55,23.08,0.53,-2.77,23.37,23.71,-1.25,-2.64,22.51,25.34,22.0,25.34,24.0,22.83,0.32,-2.51,52.58,36.97,78.18,36.81,-3.02,0.28,42.33,69.52,-2.51,0.83,36.13,84.32,3133.0,2832.0,2006.0,2657.0,71.99,0.06,374.94,2.07,702.15,7
GDV PRK,GDV,,17,12/13/2024,,,0.27,4.25,20.82,17.65,18.41,0.76,-2.41,18.69,19.15,-1.5,-3.86,17.97,21.49,16.96,21.49,21.0,18.2,0.23,-3.29,54.04,42.3,80.65,48.05,-2.62,0.55,38.24,67.08,-3.29,1.24,47.52,80.56,9262.0,8869.0,4943.0,7691.0,71.99,0.06,387.57,2.07,702.15,4
GGN PRB,GGN,,15,12/16/2024,5/7/2018,,0.31,5.0,23.67,21.38,20.74,-0.64,-2.93,20.84,21.45,-0.49,-3.3,19.84,24.15,19.84,24.15,24.0,20.51,0.67,-3.64,48.13,39.85,68.56,53.1,-3.16,-0.87,43.76,79.94,-3.64,0.67,52.63,85.78,8244.0,10135.0,6352.0,8244.0,66.4,0.06,377.05,2.07,702.15,7
GGT PRE,GGT,,15,12/16/2024,,,0.32,5.13,24.85,22.98,22.68,-0.3,-2.17,22.9,22.97,-0.97,-1.25,22.5,24.7,21.41,24.7,24.0,22.45,-0.05,-2.25,50.94,30.91,88.35,33.06,-2.4,-0.53,35.98,76.86,-2.25,1.04,32.34,82.39,875.0,649.0,214.0,579.0,50.3,0.06,324.47,2.07,702.15,0
GGT PRG,GGT,,15,12/16/2024,12/20/2024,,0.32,5.13,24.59,22.95,22.8,-0.15,-1.79,22.78,22.94,0.1,-0.6,22.32,24.47,21.87,24.47,24.0,22.57,0.25,-1.9,44.67,28.07,80.1,28.02,-2.02,-0.38,32.1,75.5,-1.9,0.7,27.23,85.51,974.0,1021.0,480.0,825.0,50.3,0.06,311.96,2.07,702.15,0
GNT PRA,GNT,,15,11/15/2024,,,0.33,5.2,24.55,21.53,21.52,-0.01,-3.03,21.74,22.22,-1.03,-3.17,21.33,24.3,21.17,24.3,83.0,21.49,0.16,-2.81,51.29,39.29,82.58,41.14,-3.06,-0.04,42.74,72.42,-2.81,0.32,40.51,88.99,1062.0,817.0,486.0,788.0,66.77,0.06,372.55,2.07,702.15,7
HBANP,HBAN,,10,1/2/2025,,,0.28,4.5,20.81,14.07,17.68,3.58,-3.16,17.79,18.4,-0.78,-4.09,16.22,20.74,13.71,20.74,41.0,17.5,1.28,-3.24,49.82,43.3,51.79,47.33,-3.31,3.43,45.29,40.99,-3.24,3.79,46.79,57.19,37372.0,40168.0,58993.0,45511.0,62.82,0.06,348.74,2.07,702.15,8
HFRO PRA,HFRO,,16,12/20/2024,,,0.34,5.38,23.45,17.01,15.26,-1.75,-8.19,16.11,17.91,-5.28,-14.79,14.5,21.09,14.5,21.09,28.0,15.03,0.53,-6.06,76.18,90.0,72.41,87.98,-8.42,-1.98,34.08,90.0,-6.06,0.53,87.96,87.07,19296.0,18925.0,7955.0,15392.0,54.32,0.09,464.9,2.07,702.15,7
HIG PRG,HIG,,11,11/1/2024,11/15/2023,,0.38,6.0,26.6,22.89,24.97,2.08,-1.63,24.99,25.05,-0.09,-0.3,23.99,25.53,22.76,25.6,69.0,24.88,0.89,-0.65,45.78,26.76,62.51,10.0,-1.72,1.99,29.03,54.03,-0.72,2.12,10.0,72.5,17336.0,19033.0,13739.0,16703.0,73.74,0.06,332.47,2.07,702.15,4
HWCPZ,HWC,BB,11,11/27/2024,6/15/2025,,0.39,6.25,26.56,22.45,24.11,1.83,-2.28,23.79,24.03,2.05,1.03,22.21,26.19,19.75,26.19,5.0,23.91,1.7,-2.28,33.25,20.95,40.24,33.5,-2.65,1.46,38.54,58.83,-2.28,4.16,32.77,53.8,7831.0,8739.0,5976.0,7515.0,63.19,0.06,299.35,2.07,702.15,5
INN PRE,INN,,NR,11/13/2024,11/13/2022,,0.39,6.25,21.22,18.14,19.0,0.86,-2.22,19.87,20.59,-4.39,-7.71,17.3,21.77,17.03,22.48,81.0,18.96,1.66,-2.81,70.97,59.1,41.34,41.14,-2.26,0.82,34.55,64.63,-3.52,1.93,50.88,74.24,10725.0,7235.0,3314.0,7091.0,35.57,0.08,332.25,2.07,702.15,5
INN PRF,INN,,NR,11/13/2024,8/12/2026,,0.37,5.88,21.02,18.07,19.03,0.96,-1.99,19.01,20.07,0.13,-5.18,17.03,22.0,16.07,22.0,81.0,18.99,1.96,-3.01,44.49,48.06,33.09,44.02,-2.03,0.92,32.2,63.73,-3.01,2.92,43.43,65.17,5423.0,5403.0,2778.0,4535.0,35.57,0.08,296.79,2.07,702.15,3
JPM PRC,JPM,,11.5,10/29/2024,3/1/2024,,0.38,6.0,26.1,24.11,25.07,0.96,-1.03,25.21,25.27,-0.56,-0.79,24.74,25.82,23.87,25.82,66.0,24.97,0.23,-0.85,48.54,28.9,80.65,12.88,-1.13,0.86,22.99,64.27,-0.85,1.1,11.9,81.84,111190.0,115868.0,141160.0,122739.0,81.65,0.06,393.15,2.07,702.15,4
JPM PRD,JPM,,11.5,10/29/2024,12/1/2023,,0.36,5.75,25.75,23.3,24.35,1.05,-1.4,24.8,24.97,-1.8,-2.49,24.02,25.67,22.83,25.67,66.0,24.25,0.23,-1.42,55.8,36.32,80.65,21.1,-1.5,0.95,26.78,63.45,-1.42,1.42,20.22,78.91,97919.0,110743.0,117485.0,108716.0,81.65,0.06,405.63,2.07,702.15,4
JPM PRJ,JPM,,11.5,10/29/2024,,,0.3,4.75,23.74,19.38,19.89,0.51,-3.85,20.7,21.65,-3.93,-8.13,19.65,24.85,19.02,24.85,66.0,19.81,0.16,-5.04,68.27,60.93,82.58,73.28,-3.93,0.43,51.64,68.17,-5.04,0.79,73.07,84.68,71391.0,72451.0,92996.0,78946.0,81.65,0.06,473.56,2.07,702.15,9
JPM PRK,JPM,,11.5,10/29/2024,,,0.28,4.55,21.65,18.67,18.92,0.24,-2.74,19.81,20.68,-4.53,-8.57,18.66,23.04,18.32,23.04,66.0,18.84,0.18,-4.2,71.79,62.85,82.03,61.17,-2.81,0.17,40.18,70.52,-4.2,0.52,60.8,87.16,133440.0,122843.0,179509.0,145264.0,81.65,0.06,485.06,2.07,702.15,9
