PREF IBKR,CMON,BOND_,CRDT SCORE_,EX-DIV DATE,CALL DATE,MATUR DATE,DIV AMOUNT,COUPON,Aug2022_Price,Oct19_Price,Last Price,Oct19_diff,Aug2022_diff,SMA88,SMA268,SMA88 chg,SMA268 chg,6M Low,6M High,1Y Low,1Y High,TIME TO DIV,Div adj.price,6M_Low_diff,6M_High_diff,SMA88_chg_norm,SMA268_chg_norm,6M_Low_diff_norm,6M_High_diff_norm,Aug4_chg,Oct19_chg,Aug4_chg_norm,Oct19_chg_norm,1Y_High_diff,1Y_Low_diff,1Y_High_diff_norm,1Y_Low_diff_norm,ADV_6M,ADV_3M,ADV_15D,AVG_ADV
ENJ,ETR,BB,14.5,11/29/2024,12/1/2017,,0.31,5.00%,24.79,19.49,20.52,1.03,-4.27,21.02,21.8,-2.39,-5.87,20.02,24.59,19.31,24.59,7.0,20.23,0.21,-4.36,59.253294,51.069285,81.202749,63.477477,-4.56,0.74,58.081841,65.356738,-4.36,0.92,63.138686,83.4937,1724,1596,869,1396
ENO,ETR,BB,13,12/27/2024,,,0.34,5.50%,25.4,20.75,22.27,1.52,-3.13,22.21,23.14,0.29,-3.74,21.21,25.32,20.5,25.32,35.0,22.06,0.85,-3.26,43.557833,41.77305,63.608247,47.621622,-3.34,1.31,45.601023,60.192525,-3.26,1.56,47.080292,77.628866,7679,9277,5497,7484
EQH PRA,EQH,,10.5,11/29/2024,,,0.33,5.25%,23.77,17.79,20.13,2.34,-3.64,20.77,21.79,-3.1,-7.64,18.41,23.89,17.26,23.89,7.0,19.83,1.42,-4.06,63.41142,58.794326,47.938144,59.153153,-3.94,2.04,51.73913,53.578709,-4.06,2.57,58.759124,68.373425,45386,46900,52007,48098
EQH PRC,EQH,,10.5,11/29/2024,,,0.27,4.30%,21.08,13.95,16.5,2.55,-4.58,17.41,18.3,-5.23,-9.83,15.83,20.69,13.35,20.69,7.0,16.25,0.42,-4.44,75.885798,68.352428,75.429553,64.630631,-4.83,2.3,60.84399,51.223103,-4.44,2.9,64.306569,65.34937,21647,25175,20576,22466
ETI PR,ETR,,10,12/30/2024,,,0.34,5.38%,25.5,21.75,22.92,1.17,-2.58,23.76,23.75,-3.55,-3.5,22.71,25.23,21.39,25.43,38.0,22.72,0.01,-2.51,66.046852,40.725586,86.701031,36.810811,-2.78,0.97,39.872123,63.272933,-2.71,1.33,39.051095,79.736541,2054,1542,1913,1836
F PRB,F,BB,9.5,11/12/2024,6/1/2024,,0.39,6.20%,26.79,20.83,20.44,-0.39,-6.35,22.12,23.59,-7.58,-13.35,19.9,25.39,19.9,25.64,80.0,20.4,0.5,-4.99,89.648609,83.715221,73.230241,72.558559,-6.39,-0.43,76.803069,75.956965,-5.24,0.5,75.985401,87.342497,41036,43836,41555,42143
F PRC,F,BB,9,11/12/2024,12/1/2024,,0.38,6.00%,25.99,20.49,20.25,-0.24,-5.74,21.56,23.2,-6.08,-12.73,19.2,25.35,19.2,25.38,80.0,20.21,1.01,-5.14,80.863836,81.009274,59.209622,74.720721,-5.78,-0.28,70.56266,74.597961,-5.17,1.01,74.963504,82.668958,47936,46897,43275,46036
FBRT PRE,FBRT,,NR,12/27/2024,,,0.47,7.50%,21.68,18.2,20.42,2.22,-1.26,20.8,21.45,-1.83,-4.81,19.05,23.65,18.03,23.65,35.0,20.13,1.08,-3.52,55.973646,46.44299,57.285223,51.369369,-1.55,1.93,27.289003,54.575311,-3.52,2.1,50.875912,72.680412,14012,13585,11234,12944
FCNCO,FCNCA,,9.5,11/27/2024,,,0.35,5.63%,24.08,19.4,22.71,3.34,-1.34,22.44,22.94,1.34,-0.88,20.57,24.83,18.91,24.83,5.0,22.41,1.84,-2.42,37.408492,29.29078,36.391753,35.513514,-1.67,3.01,28.516624,44.790487,-2.42,3.5,34.817518,59.851088,13053,12312,13033,12799
FCNCP,FCNCA,,9.5,11/27/2024,,,0.34,5.38%,23.66,18.85,21.2,2.39,-2.42,21.72,22.36,-2.22,-5.03,19.3,24.42,18.69,24.42,5.0,20.92,1.62,-3.5,58.257687,47.403164,42.439863,51.081081,-2.74,2.07,39.462916,53.306908,-3.5,2.23,50.583942,71.489118,14527,17733,15314,15858
FHN PRF,FHN,,8.5,12/20/2024,,,0.29,4.70%,,,17.7,,,17.77,18.37,-0.39,-3.64,16.41,21.48,13.13,21.48,28.0,17.5,1.09,-3.98,47.540264,41.336607,57.010309,58.0,,,,,-3.98,4.37,57.591241,51.87858,6442,5900,3943,5428
FITBO,FITB,,10.5,12/26/2024,,,0.31,4.95%,25.79,17.93,21.61,3.68,-4.18,21.8,21.83,-0.89,-1.01,19.52,24.15,17.58,24.15,34.0,21.42,1.9,-2.73,50.468521,29.858156,34.742268,39.981982,-4.37,3.49,56.138107,40.441676,-2.73,3.84,39.343066,56.735395,19171,19739,24708,21206
FITBP,FITB,,NR,12/26/2024,,,0.38,6.00%,25.6,22.13,24.4,2.37,-1.1,24.54,24.42,-0.17,0.32,23.04,25.9,21.01,25.9,34.0,24.26,1.22,-1.64,46.25183,24.053464,53.436426,24.27027,-1.34,2.13,25.140665,52.763307,-1.64,3.25,23.430657,62.142039,8723,9049,10249,9340
FRT PRC,FRT,,12.5,1/2/2025,,,0.31,5.00%,25.75,19.64,20.32,0.68,-5.43,20.92,21.45,-2.88,-5.28,19.41,23.27,18.57,23.9,41.0,20.15,0.74,-3.12,62.122987,48.494272,66.632302,45.603604,-5.6,0.51,68.721228,67.440544,-3.75,1.58,54.233577,77.44559,6414,5950,5346,5904
FULTP,FULT,,11,12/2/2024,,,0.32,5.13%,23.1,15.09,18.9,3.85,-4.16,19.52,19.31,-2.97,-1.9,17.25,21.22,14.56,21.22,10.0,18.66,1.41,-2.56,62.650073,33.742499,48.213058,37.531532,-4.44,3.57,56.85422,39.716874,-2.56,4.1,36.861314,54.352806,9295,6598,2630,6175
GAB PRG,GAB,,16,12/16/2024,,,0.31,5.00%,24.5,21.0,21.05,0.05,-3.45,21.24,21.86,-0.88,-3.7,20.17,24.2,20.17,24.2,24.0,20.82,0.65,-3.38,50.409956,41.598472,69.106529,49.351351,-3.68,-0.18,49.079284,73.691959,-3.38,0.65,48.832117,85.967927,4042,5020,2833,3965
GAB PRH,GAB,,16,12/16/2024,,,0.31,5.00%,23.89,20.98,21.02,0.04,-2.87,21.25,21.9,-1.09,-4.02,20.4,24.24,20.4,24.24,24.0,20.79,0.39,-3.45,51.639824,42.99509,76.254296,50.36036,-3.1,-0.19,43.14578,73.782559,-3.45,0.39,49.854015,88.350515,8656,9242,3986,7295
GAB PRK,GAB,,16,12/16/2024,,,0.31,5.00%,24.4,21.23,21.17,-0.07,-3.24,21.28,21.91,-0.59,-3.44,20.5,24.25,20.5,24.25,24.0,20.93,0.43,-3.32,48.711567,40.463721,75.154639,48.486486,-3.47,-0.3,46.930946,74.779162,-3.32,0.43,47.956204,87.983963,7293,7754,4518,6522
GDV PRH,GDV,,17,12/16/2024,,,0.34,5.38%,25.85,22.55,23.08,0.53,-2.77,23.37,23.71,-1.25,-2.64,22.51,25.34,22.0,25.34,24.0,22.83,0.32,-2.51,52.576867,36.972177,78.178694,36.810811,-3.02,0.28,42.327366,69.524349,-2.51,0.83,36.131387,84.318442,3133,2832,2006,2657
GDV PRK,GDV,,17,12/13/2024,,,0.27,4.25%,20.82,17.65,18.41,0.76,-2.41,18.69,19.15,-1.5,-3.86,17.97,21.49,16.96,21.49,21.0,18.2,0.23,-3.29,54.040996,42.296781,80.652921,48.054054,-2.62,0.55,38.235294,67.078143,-3.29,1.24,47.518248,80.561283,9262,8869,4943,7691
GGN PRB,GGN,,15,12/16/2024,5/7/2018,,0.31,5.00%,23.67,21.38,20.74,-0.64,-2.93,20.84,21.45,-0.49,-3.3,19.84,24.15,19.84,24.15,24.0,20.51,0.67,-3.64,48.125915,39.8527,68.556701,53.099099,-3.16,-0.87,43.759591,79.943375,-3.64,0.67,52.627737,85.784651,8244,10135,6352,8244
GGT PRE,GGT,,15,12/16/2024,,,0.32,5.13%,24.85,22.98,22.68,-0.3,-2.17,22.9,22.97,-0.97,-1.25,22.5,24.7,21.41,24.7,24.0,22.45,-0.05,-2.25,50.937042,30.905619,88.350515,33.063063,-2.4,-0.53,35.984655,76.862967,-2.25,1.04,32.335766,82.394044,875,649,214,579
GGT PRG,GGT,,15,12/16/2024,12/20/2024,,0.32,5.13%,24.59,22.95,22.8,-0.15,-1.79,22.78,22.94,0.1,-0.6,22.32,24.47,21.87,24.47,24.0,22.57,0.25,-1.9,44.670571,28.06874,80.103093,28.018018,-2.02,-0.38,32.097187,75.503964,-1.9,0.7,27.226277,85.509737,974,1021,480,825
GNT PRA,GNT,,15,11/15/2024,,,0.33,5.20%,24.55,21.53,21.52,-0.01,-3.03,21.74,22.22,-1.03,-3.17,21.33,24.3,21.17,24.3,83.0,21.49,0.16,-2.81,51.288433,39.285325,82.57732,41.135135,-3.06,-0.04,42.736573,72.423556,-2.81,0.32,40.510949,88.991982,1062,817,486,788
GPJA,SO,BB,11.5,12/27/2024,,,0.31,5.00%,25.62,20.82,,1.72,-3.08,22.53,23.5,0.03,-4.07,21.0,25.41,20.58,25.66,35.0,22.35,1.35,-3.06,45.080527,43.213312,49.862543,44.738739,-3.27,1.53,44.88491,58.19932,-3.31,1.77,47.810219,75.704467,15440,16474,8543,13486
GRBK PRA,GRBK,,NR,11/25/2024,,,0.36,5.75%,22.08,17.93,,4.07,-0.08,22.96,23.06,-4.17,-4.61,21.06,25.0,17.15,25.0,3.0,21.65,0.59,-3.35,69.677892,45.570104,70.756014,48.918919,-0.43,3.72,15.831202,38.357871,-3.35,4.5,48.394161,50.687285,4012,3125,2401,3180
GUT PRC,GUT,,16,12/16/2024,,,0.34,5.38%,25.39,23.02,,0.27,-2.1,24.26,24.32,-4.01,-4.24,23.15,25.22,22.33,25.56,24.0,23.04,-0.11,-2.18,68.740849,43.955265,90.0,32.054054,-2.35,0.02,35.473146,71.879955,-2.52,0.71,36.277372,85.418099,1211,1312,1783,1435
HBANM,HBAN,,9,11/15/2024,12/1/2022,,0.36,5.70%,25.47,17.8,,4.68,-2.99,22.77,23.03,-1.29,-2.41,21.45,25.39,17.68,25.39,83.0,22.45,1.0,-2.94,52.811127,35.968358,59.484536,43.009009,-3.02,4.65,42.327366,29.93205,-2.94,4.77,42.408759,48.213058,11479,11770,6164,9804
HBANP,HBAN,,10,1/2/2025,,,0.28,4.50%,20.81,14.07,17.68,3.58,-3.16,17.79,18.4,-0.78,-4.09,16.22,20.74,13.71,20.74,41.0,17.5,1.28,-3.24,49.824305,43.3006,51.786942,47.333333,-3.31,3.43,45.294118,40.985277,-3.24,3.79,46.788321,57.193585,37372,40168,58993,45511
HFRO PRA,HFRO,,16,12/20/2024,,,0.34,5.38%,23.45,17.01,15.26,-1.75,-8.19,16.11,17.91,-5.28,-14.79,14.5,21.09,14.5,21.09,28.0,15.03,0.53,-6.06,76.178624,90.0,72.405498,87.981982,-8.42,-1.98,,90.0,-6.06,0.53,87.956204,87.067583,19296,18925,7955,15392
HIG PRG,HIG,,11,11/1/2024,11/15/2023,,0.38,6.00%,26.6,22.89,24.97,2.08,-1.63,24.99,25.05,-0.09,-0.3,23.99,25.53,22.76,25.6,69.0,24.88,0.89,-0.65,45.783309,26.759411,62.508591,10.0,-1.72,1.99,29.028133,54.03171,-0.72,2.12,10.0,72.497136,17336,19033,13739,16703
HWCPZ,HWC,BB,11,11/27/2024,6/15/2025,,0.39,6.25%,26.56,22.45,24.11,1.83,-2.28,23.79,24.03,2.05,1.03,22.21,26.19,19.75,26.19,5.0,23.91,1.7,-2.28,33.250366,20.954719,40.24055,33.495495,-2.65,1.46,38.542199,58.833522,-2.28,4.16,32.773723,53.802978,7831,8739,5976,7515
INN PRE,INN,,NR,11/13/2024,11/13/2022,,0.39,6.25%,21.22,18.14,19.0,0.86,-2.22,19.87,20.59,-4.39,-7.71,17.3,21.77,17.03,22.48,81.0,18.96,1.66,-2.81,70.966325,59.099836,41.340206,41.135135,-2.26,0.82,34.55243,64.631937,-3.52,1.93,50.875912,74.238259,10725,7235,3314,7091
INN PRF,INN,,NR,11/13/2024,8/12/2026,,0.37,5.88%,21.02,18.07,19.03,0.96,-1.99,19.01,20.07,0.13,-5.18,17.03,22.0,16.07,22.0,81.0,18.99,1.96,-3.01,44.494876,48.057829,33.092784,44.018018,-2.03,0.92,32.199488,63.725934,-3.01,2.92,43.430657,65.166094,5423,5403,2778,4535
JPM PRC,JPM,,11.5,10/29/2024,3/1/2024,,0.38,6.00%,26.1,24.11,25.07,0.96,-1.03,25.21,25.27,-0.56,-0.79,24.74,25.82,23.87,25.82,66.0,24.97,0.23,-0.85,48.535871,28.897981,80.652921,12.882883,-1.13,0.86,22.992327,64.269536,-0.85,1.1,11.89781,81.844215,111190,115868,141160,122739
JPM PRD,JPM,,11.5,10/29/2024,12/1/2023,,0.36,5.75%,25.75,23.3,24.35,1.05,-1.4,24.8,24.97,-1.8,-2.49,24.02,25.67,22.83,25.67,66.0,24.25,0.23,-1.42,55.79795,36.317512,80.652921,21.099099,-1.5,0.95,26.777494,63.454134,-1.42,1.42,20.218978,78.911798,97919,110743,117485,108716
JPM PRJ,JPM,,11.5,10/29/2024,,,0.3,4.75%,23.74,19.38,19.89,0.51,-3.85,20.7,21.65,-3.93,-8.13,19.65,24.85,19.02,24.85,66.0,19.81,0.16,-5.04,68.272328,60.932897,82.57732,73.279279,-3.93,0.43,51.636829,68.165345,-5.04,0.79,73.065693,84.684994,71391,72451,92996,78946
JPM PRK,JPM,,11.5,10/29/2024,,,0.28,4.55%,21.65,18.67,18.92,0.24,-2.74,19.81,20.68,-4.53,-8.57,18.66,23.04,18.32,23.04,66.0,18.84,0.18,-4.2,71.786237,62.853246,82.027491,61.171171,-2.81,0.17,40.179028,70.520951,-4.2,0.52,60.80292,87.159221,133440,122843,179509,145264
JPM PRL,JPM,,11.5,10/29/2024,,,0.29,4.63%,21.62,18.94,19.35,0.41,-2.27,20.11,21.04,-3.8,-8.03,19.07,23.44,18.71,23.44,66.0,19.27,0.2,-4.17,67.510981,60.496454,81.477663,60.738739,-2.35,0.33,35.473146,69.071348,-4.17,0.56,60.364964,86.792669,142914,125359,123660,130644
JPM PRM,JPM,,11.5,10/29/2024,,,0.26,4.20%,20.7,17.17,17.71,0.54,-2.99,18.44,19.29,-3.93,-8.19,17.44,21.68,16.96,21.68,66.0,17.64,0.2,-4.04,68.272328,61.194763,81.477663,58.864865,-3.06,0.47,42.736573,67.802945,-4.04,0.68,58.467153,85.693013,180226,176375,181594,179398
JSM,NAVI,BB,7.5,12/13/2024,,,0.38,6.00%,23.5,16.7,18.45,1.79,-5.01,18.57,19.35,-0.45,-4.43,16.51,21.29,16.06,21.82,21.0,18.2,1.69,-3.09,47.891654,44.784506,40.515464,45.171171,-5.3,1.5,65.652174,58.471121,-3.62,2.14,52.335766,72.31386,14455,15882,12261,14199
KEY PRJ,KEY,,10.5,11/27/2024,,,0.35,5.65%,25.36,16.17,21.42,5.24,-3.95,21.63,21.86,-1.04,-2.05,19.97,24.18,15.19,24.18,5.0,21.08,1.11,-3.1,51.346999,34.397163,56.460481,45.315315,-4.28,4.91,55.217391,27.576444,-3.1,5.89,44.744526,37.949599,29226,27941,23567,26911
KEY PRK,KEY,,10.5,11/27/2024,,,0.35,5.63%,26.17,16.05,21.07,5.02,-5.1,21.54,21.87,-2.17,-3.68,19.76,24.43,14.99,24.43,5.0,20.74,0.98,-3.69,57.964861,41.511184,60.034364,53.81982,-5.43,4.69,66.982097,29.569649,-3.69,5.75,53.357664,39.232532,24062,20478,21276,21939
KIM PRL,KIM,,11.5,12/27/2024,,,0.32,5.13%,25.42,19.2,19.88,0.68,-5.54,20.62,21.53,-3.6,-7.68,19.39,24.18,18.81,24.18,35.0,19.68,0.29,-4.5,66.339678,58.968903,79.003436,65.495495,-5.74,0.48,70.153453,67.712344,-4.5,0.87,65.182482,83.95189,12622,13366,9967,11985
KIM PRM,KIM,,11.5,12/27/2024,,,0.33,5.25%,25.4,19.83,20.32,0.49,-5.08,21.1,22.08,-3.68,-7.99,19.71,25.16,19.71,25.16,35.0,20.12,0.41,-5.04,66.808199,60.321877,75.704467,73.279279,-5.28,0.29,65.44757,69.433749,-5.04,0.41,73.065693,88.167239,16570,16130,15808,16170
KREF PRA,KREF,,NR,11/27/2024,4/16/2026,,0.41,6.50%,23.37,16.18,19.6,3.42,-3.77,19.4,19.87,1.05,-1.34,17.98,23.66,15.81,23.66,5.0,19.21,1.23,-4.45,39.106881,31.298418,53.161512,64.774775,-4.16,3.03,53.98977,44.609287,-4.45,3.4,64.452555,60.767468,18053,17596,14119,16589
MBINN,MBIN,,NR,12/13/2024,,,0.38,6.00%,24.23,16.5,19.86,3.36,-4.37,20.87,21.43,-4.85,-7.32,18.31,24.34,16.31,24.34,21.0,19.57,1.26,-4.77,73.660322,57.397709,52.33677,69.387387,-4.66,3.07,59.104859,44.246886,-4.77,3.26,69.124088,62.050401,8079,8149,11732,9320
MET PRE,MET,,12,11/27/2024,,,0.35,5.63%,26.5,21.22,23.59,2.37,-2.91,23.82,24.21,-0.96,-2.56,22.66,25.23,21.03,25.23,5.0,23.26,0.6,-1.97,50.878477,36.623022,70.4811,29.027027,-3.24,2.04,44.578005,53.578709,-1.97,2.23,28.248175,71.489118,53151,52719,31435,45768
MET PRF,MET,,12,11/27/2024,,,0.3,4.75%,24.56,18.5,19.71,1.21,-4.85,20.29,20.97,-2.87,-6.02,19.0,23.21,18.33,23.21,5.0,19.43,0.43,-3.78,62.064422,51.72395,75.154639,55.117117,-5.13,0.93,63.913043,63.635334,-3.78,1.1,54.671533,81.844215,79814,83864,67596,77091
MFA PRB,MFA,,NR,11/27/2024,4/15/2018,,0.47,7.50%,21.92,18.34,21.51,3.17,-0.41,21.29,21.54,1.02,-0.15,18.27,23.67,17.01,23.67,5.0,21.07,2.8,-2.6,39.282577,26.104746,10.0,38.108108,-0.85,2.73,20.127877,47.327293,-2.6,4.06,37.445255,54.719359,16926,16256,11554,14912
MGR,AMG,BB,12,12/27/2024,,,0.37,5.88%,26.29,19.6,20.75,1.15,-5.54,21.83,22.84,-4.93,-9.14,19.91,25.17,19.43,25.17,35.0,20.52,0.61,-4.65,74.128843,65.340971,70.206186,67.657658,-5.77,0.92,70.460358,63.725934,-4.65,1.09,67.372263,81.935853,17124,16580,12761,15488
MGRB,AMG,BB,12,12/27/2024,,,0.3,4.75%,22.01,16.09,16.94,0.85,-5.07,17.84,18.89,-5.04,-10.32,16.13,21.0,15.83,21.0,35.0,16.76,0.63,-4.24,74.77306,70.490998,69.656357,61.747748,-5.25,0.67,65.140665,65.99094,-4.24,0.93,61.386861,83.402062,16994,19894,21605,19498
MGRD,AMG,BB,12,12/27/2024,,,0.26,4.20%,19.5,15.18,15.39,0.21,-4.11,15.83,16.72,-2.78,-7.93,14.62,18.37,14.62,18.37,35.0,15.23,0.61,-3.14,61.537335,60.060011,70.206186,45.891892,-4.27,0.05,55.11509,71.608154,-3.14,0.61,45.328467,86.334479,9553,10249,8513,9438
MS PRK,MS,,11,12/27/2024,,,0.37,5.85%,26.38,21.4,23.14,1.74,-3.24,23.98,24.57,-3.49,-5.83,22.52,26.0,21.16,26.0,35.0,22.91,0.39,-3.09,65.695461,50.894708,76.254296,45.171171,-3.47,1.51,46.930946,58.380521,-3.09,1.75,44.59854,75.887743,78835,84491,107495,90273
MS PRL,MS,,11,12/27/2024,,,0.3,4.88%,24.0,18.32,19.68,1.36,-4.32,20.56,21.98,-4.27,-10.48,19.34,24.49,18.15,24.49,35.0,19.5,0.16,-4.99,70.263543,71.189307,82.57732,72.558559,-4.5,1.18,57.468031,61.370328,-4.99,1.35,72.335766,79.553265,27580,28114,30060,28585
MS PRO,MS,,11,12/27/2024,,,0.27,4.25%,20.77,15.9,17.33,1.43,-3.44,18.07,18.95,-4.1,-8.57,16.82,21.47,15.7,21.47,35.0,17.16,0.34,-4.31,69.267936,62.853246,77.628866,62.756757,-3.61,1.26,48.363171,60.645527,-4.31,1.46,62.408759,78.545246,127520,112307,105343,115056
NCV PRA,NCV,,NR,12/5/2024,,,0.35,5.63%,24.28,20.92,22.02,1.1,-2.26,21.76,22.07,1.2,-0.22,20.72,23.64,20.6,23.64,13.0,21.72,1.0,-1.92,38.228404,26.410256,59.484536,28.306306,-2.56,0.8,37.621483,64.813137,-1.92,1.12,27.518248,81.660939,5559,3498,2417,3825
NCZ PRA,NCZ,,NR,12/5/2024,,,0.34,5.50%,24.28,20.5,20.84,0.34,-3.44,20.96,21.06,-0.58,-1.05,19.92,22.38,19.92,22.38,13.0,20.55,0.63,-1.83,48.653001,30.032733,69.656357,27.009009,-3.73,0.05,49.590793,71.608154,-1.83,0.63,26.20438,86.151203,9697,9728,8149,9191
NEE PRN,NEE,BB,12,11/27/2024,,,0.35,5.65%,26.15,22.13,22.76,0.63,-3.39,23.23,24.21,-2.02,-5.98,22.1,25.55,21.92,25.62,5.0,22.43,0.33,-3.12,57.086384,51.549373,77.90378,45.603604,-3.72,0.3,49.488491,69.343148,-3.19,0.51,46.058394,87.250859,45087,51728,38621,45145
NRUC,-,BB,13,11/1/2024,,,0.34,5.50%,25.22,21.75,23.94,2.19,-1.28,23.46,24.19,2.03,-1.02,22.38,25.75,21.64,25.75,69.0,23.86,1.48,-1.89,33.367496,29.9018,46.28866,27.873874,-1.36,2.11,25.345269,52.944507,-1.89,2.22,27.080292,71.580756,15049,18974,14059,16027
NSA PRA,NSA,,NR,12/13/2024,,,0.38,6.00%,25.3,20.65,23.6,2.95,-1.7,22.28,22.79,5.94,3.54,21.12,25.2,20.16,25.2,21.0,23.31,2.19,-1.89,10.468521,10.0,26.769759,27.873874,-1.99,2.66,31.790281,47.961495,-1.89,3.15,27.080292,63.058419,11455,10027,5869,9117
NTRSO,NTRS,,13,12/13/2024,,,0.29,4.70%,24.85,18.3,19.66,1.53,-5.02,20.09,21.04,-1.28,-5.73,19.1,24.29,18.1,24.29,21.0,19.61,0.51,-4.68,52.752562,50.458265,72.955326,68.09009,-5.24,1.31,65.038363,60.192525,-4.68,1.51,67.810219,78.087056,25108,27709,21721,24846
NYMTZ,NYMT,,NR,1/2/2025,,,0.44,7.00%,19.78,16.6,18.25,1.59,-1.59,18.81,19.33,-3.31,-5.92,16.75,21.75,15.31,21.75,41.0,17.95,1.2,-3.8,64.641288,51.287507,53.986254,55.405405,-1.83,1.35,30.153453,59.830125,-3.8,2.64,54.963504,67.731959,4809,4132,2503,3815
OPP PRA,OPP,,16,11/1/2024,,,0.27,4.38%,20.87,16.98,17.6,0.62,-3.27,18.29,18.71,-3.79,-5.91,16.54,20.21,16.54,20.21,69.0,17.54,1.0,-2.67,67.452416,51.243863,59.484536,39.117117,-3.33,0.56,45.498721,66.987542,-2.67,1.0,38.467153,82.760596,4546,4249,3016,3937
OPP PRB,OPP,,16,11/1/2024,2/15/2027,,0.3,4.75%,21.43,18.7,19.21,0.51,-2.22,19.86,20.08,-3.29,-4.31,18.34,21.86,18.31,22.31,69.0,19.14,0.8,-2.72,64.524158,44.260775,64.982818,39.837838,-2.29,0.44,34.859335,68.074745,-3.17,0.83,45.766423,84.318442,2815,2208,1772,2265
OZKAP,OZK,,9,11/1/2024,11/15/2026,,0.29,4.63%,20.78,14.61,16.25,1.69,-4.48,16.96,17.09,-3.91,-4.65,15.75,19.88,14.37,19.88,69.0,16.23,0.48,-3.65,68.155198,45.744681,73.780069,53.243243,-4.55,1.62,57.97954,57.383918,-3.65,1.86,52.773723,74.879725,28785,27349,40225,32120
PEB PRE,PEB,,NR,12/27/2024,,,0.4,6.38%,24.71,18.32,18.12,-0.2,-6.59,18.47,20.51,-1.89,-11.65,16.27,23.22,16.27,23.22,35.0,17.88,1.61,-5.34,56.325037,76.29569,42.714777,77.603604,-6.83,-0.44,81.304348,76.047565,-5.34,1.61,77.445255,77.170676,9528,10917,6730,9058
PEB PRF,PEB,,NR,12/27/2024,,,0.39,6.30%,23.52,18.56,18.35,-0.21,-5.17,18.61,20.55,-1.42,-10.69,16.85,23.75,16.85,23.75,35.0,18.11,1.26,-5.64,53.572474,72.105837,52.33677,81.927928,-5.41,-0.45,66.777494,76.138165,-5.64,1.26,81.824818,80.378007,7596,9543,4934,7358
PEB PRG,PEB,,NR,12/27/2024,,,0.4,6.38%,23.4,18.0,18.1,0.1,-5.3,18.65,20.28,-2.97,-10.75,16.6,23.18,16.6,23.18,35.0,17.86,1.26,-5.32,62.650073,72.367703,52.33677,77.315315,-5.54,-0.14,68.107417,73.329558,-5.32,1.26,77.153285,80.378007,10240,10645,14082,11656
PEB PRH,PEB,,NR,12/27/2024,,,0.36,5.70%,21.01,16.38,16.95,0.57,-4.06,17.06,18.38,-0.65,-7.8,15.51,21.12,15.02,21.12,35.0,16.73,1.22,-4.39,49.062958,59.492635,53.436426,63.90991,-4.28,0.35,55.217391,68.890147,-4.39,1.71,63.576642,76.254296,11479,7684,4435,7866
PFH,PRU,BB,13,11/15/2024,9/1/2025,,0.26,4.13%,22.61,17.35,17.14,-0.21,-5.47,17.93,19.13,-4.38,-10.41,16.84,21.59,16.84,21.59,83.0,17.12,0.28,-4.47,70.90776,70.883797,79.278351,65.063063,-5.49,-0.23,67.595908,74.14496,-4.47,0.28,64.744526,89.358534,29952,30035,27414,29134
PRH,PRU,BB,13,11/15/2024,,,0.37,5.95%,,23.79,24.64,0.85,,24.88,25.57,-0.97,-3.64,23.59,26.89,23.17,26.95,83.0,24.61,1.02,-2.28,50.937042,41.336607,58.934708,33.495495,,0.82,,64.631937,-2.34,1.44,33.649635,78.728522,18740,23830,21828,21466
PRS,PRU,BB,13,11/1/2024,8/15/2023,,0.35,5.63%,26.16,22.52,23.03,0.51,-3.13,23.36,24.23,-1.4,-4.94,22.35,25.42,22.31,25.42,69.0,22.95,0.6,-2.47,53.455344,47.010366,70.4811,36.234234,-3.21,0.43,44.2711,68.165345,-2.47,0.64,35.547445,86.059565,28435,31789,26744,28990
PSA PRF,PSA,,13.5,12/12/2024,,,0.32,5.15%,25.84,20.87,20.92,0.05,-4.92,21.49,22.9,-2.67,-8.66,19.87,25.11,19.87,25.11,20.0,20.67,0.8,-4.44,60.893119,63.246045,64.982818,64.630631,-5.17,-0.2,64.322251,73.87316,-4.44,0.8,64.306569,84.593356,18536,17476,11441,15818
