PREF IBKR,CMON,BOND_,CRDT SCORE_,EX-DIV DATE,CALL DATE,MATUR DATE,DIV AMOUNT,COUPON,Aug2022_Price,Oct19_Price,Last Price,Oct19_diff,Aug2022_diff,SMA88,SMA268,SMA88 chg,SMA268 chg,6M Low,6M High,1Y Low,1Y High,TIME TO DIV,Div adj.price,6M_Low_diff,6M_High_diff,SMA88_chg_norm,SMA268_chg_norm,6M_Low_diff_norm,6M_High_diff_norm,Aug4_chg,Oct19_chg,Aug4_chg_norm,Oct19_chg_norm,1Y_High_diff,1Y_Low_diff,1Y_High_diff_norm,1Y_Low_diff_norm,ADV_6M,ADV_3M,ADV_15D,AVG_ADV,SOLIDITY_SCORE,CUR_YIELD,FINAL_THG,SOLIDITY_WEIGHT_USED,YIELD_WEIGHT_USED,Group,Normalized_THG,Normalized_ADV,Raw_Size,Recommended_Shares,Scaled_Shares,Final_Shares
JPM PRM,JPM,,11.5,10/29/2024,,,0.26,4.2,20.7,17.17,17.71,0.54,-2.99,18.44,19.29,-3.93,-8.19,17.44,21.68,16.96,21.68,66.0,17.64,0.2,-4.04,68.27,61.19,81.48,58.86,-3.06,0.47,42.74,67.8,-4.04,0.68,58.47,85.69,180226.0,176375.0,181594.0,179398.0,81.65,0.06,487.11,2.07,702.15,9,1.0,1.0000000000000002,1000.0,1000,1250,850
JPM PRK,JPM,,11.5,10/29/2024,,,0.28,4.55,21.65,18.67,18.92,0.24,-2.74,19.81,20.68,-4.53,-8.57,18.66,23.04,18.32,23.04,66.0,18.84,0.18,-4.2,71.79,62.85,82.03,61.17,-2.81,0.17,40.18,70.52,-4.2,0.52,60.8,87.16,133440.0,122843.0,179509.0,145264.0,81.65,0.06,485.06,2.07,702.15,9,0.9757819755254193,0.7816996693992952,936.9655143001945,900,1100,750
SREA,SRE,BB,11.5,12/13/2024,,,0.36,5.75,25.24,21.16,20.5,-0.66,-4.74,21.97,23.42,-6.69,-12.48,19.6,25.24,19.6,25.47,21.0,20.22,0.62,-5.02,84.44,79.92,69.93,72.99,-5.02,-0.94,62.79,80.58,-5.25,0.62,76.13,86.24,55902.0,62776.0,57957.0,58878.0,71.57,0.07,484.68,2.07,702.15,2,0.971314564254891,0.29464836166610586,835.9813237371341,800,1000,700
WRB PRG,WRB,BB,11.5,12/13/2024,,,0.27,4.25,21.25,17.35,16.37,-0.98,-4.88,17.24,18.67,-5.07,-12.32,15.95,21.1,15.95,22.29,21.0,16.16,0.21,-4.94,74.95,79.22,81.2,71.84,-5.09,-1.19,63.5,82.84,-6.13,0.21,88.98,90.0,7005.0,7621.0,6995.0,7207.0,73.47,0.06,472.82,2.07,702.15,2,0.8353767747008282,0.07005388486644654,682.312196733952,700,900,650
WRB PRH,WRB,BB,11.5,12/13/2024,,,0.26,4.13,20.85,15.6,15.97,0.37,-4.88,16.98,18.24,-5.96,-12.44,15.55,21.15,15.4,21.15,21.0,15.77,0.22,-5.38,80.16,79.74,80.93,78.18,-5.08,0.17,63.4,70.52,-5.38,0.37,78.03,88.53,11033.0,11602.0,16861.0,13165.0,73.47,0.06,471.56,2.07,702.15,10,0.8213402038097056,0.09196199860555325,675.4645627688751,700,900,650
BHFAO,BHF,,10,12/6/2024,6/25/2025,,0.42,6.75,26.51,21.17,20.15,-1.02,-6.36,21.1,23.43,-4.52,-14.01,18.53,26.0,18.53,26.0,14.0,19.8,1.27,-6.2,71.73,86.6,52.06,90.0,-6.71,-1.37,80.08,84.47,-6.2,1.27,90.0,80.29,32342.0,41254.0,37178.0,36925.0,61.22,0.08,469.52,2.07,702.15,1,0.7987831019565566,0.1907994190546157,677.1863653761685,700,900,650
BAC PRQ,BAC,,11,11/1/2024,,,0.27,4.25,20.46,16.11,16.97,0.86,-3.49,17.94,18.74,-5.38,-9.46,16.74,21.0,15.98,21.0,69.0,16.91,0.17,-4.09,76.76,66.74,82.3,59.59,-3.55,0.8,47.75,64.81,-4.09,0.93,59.2,83.4,98613.0,94976.0,100299.0,97963.0,78.1,0.06,469.24,2.07,702.15,2,0.7957034034156498,0.5016894366411675,736.9006100607534,700,900,650
SOJE,SO,BB,11.5,1/10/2025,,,0.26,4.2,20.96,17.42,17.64,0.19,-3.35,18.27,19.62,-3.61,-10.22,17.28,22.35,17.28,22.35,49.0,17.49,0.21,-4.86,66.4,70.05,81.2,70.68,-3.47,0.07,46.93,71.43,-4.86,0.21,70.44,90.0,54164.0,56350.0,40130.0,50214.0,79.52,0.06,469.21,2.07,702.15,9,0.7953736709784712,0.2524360319429253,686.7861431713621,700,900,650
BHFAP,BHF,,10,12/6/2024,,,0.41,6.6,26.1,20.01,19.69,-0.32,-6.41,20.68,22.68,-4.77,-13.19,18.38,25.51,18.38,25.51,14.0,19.34,0.96,-6.17,73.19,83.02,60.58,89.57,-6.76,-0.67,80.59,78.13,-6.17,0.96,89.56,83.13,31097.0,36176.0,33633.0,33635.0,61.22,0.08,468.25,2.07,702.15,8,0.7848463224187099,0.1761780535046853,663.112668635905,700,900,650
F PRB,F,BB,9.5,11/12/2024,6/1/2024,,0.39,6.2,26.79,20.83,20.44,-0.39,-6.35,22.12,23.59,-7.58,-13.35,19.9,25.39,19.9,25.64,80.0,20.4,0.5,-4.99,89.65,83.72,73.23,72.56,-6.39,-0.43,76.8,75.96,-5.24,0.5,75.99,87.34,41036.0,43836.0,41555.0,42143.0,56.6,0.08,465.44,2.07,702.15,9,0.7543020006130196,0.21452511982638597,646.3466244556929,600,750,500
HFRO PRA,HFRO,,16,12/20/2024,,,0.34,5.38,23.45,17.01,15.26,-1.75,-8.19,16.11,17.91,-5.28,-14.79,14.5,21.09,14.5,21.09,28.0,15.03,0.53,-6.06,76.18,90.0,72.41,87.98,-8.42,-1.98,34.08,90.0,-6.06,0.53,87.96,87.07,19296.0,18925.0,7955.0,15392.0,54.32,0.09,464.9,2.07,702.15,7,0.7484787096014837,0.10048937947112124,618.8808435754113,600,750,500
MS PRO,MS,,11,12/27/2024,,,0.27,4.25,20.77,15.9,17.33,1.43,-3.44,18.07,18.95,-4.1,-8.57,16.82,21.47,15.7,21.47,35.0,17.16,0.34,-4.31,69.27,62.85,77.63,62.76,-3.61,1.26,48.36,60.65,-4.31,1.46,62.41,78.55,127520.0,112307.0,105343.0,115056.0,77.94,0.06,462.5,2.07,702.15,2,0.7227802076088117,0.5995512281179048,698.1344117106304,700,900,650
WFC PRZ,WFC,,11,11/27/2024,,,0.3,4.75,21.8,17.49,18.98,1.49,-2.82,19.78,20.47,-4.04,-7.3,18.45,22.29,17.33,22.29,5.0,18.7,0.25,-3.59,68.92,57.31,80.1,52.38,-3.1,1.21,43.15,61.1,-3.59,1.37,51.9,79.37,162798.0,138047.0,140938.0,147261.0,78.78,0.06,460.23,2.07,702.15,9,0.6987506683999528,0.7941232831876499,717.8251913574923,700,900,650
BAC PRP,BAC,,11,10/15/2024,,,0.26,4.12,20.8,15.57,16.57,1.0,-4.23,17.5,18.32,-5.29,-9.57,16.26,20.58,15.4,20.58,52.0,16.46,0.2,-4.12,76.24,67.22,81.48,60.02,-4.34,0.89,55.83,64.0,-4.12,1.06,59.64,82.21,64676.0,56863.0,54211.0,58584.0,78.1,0.06,460.18,2.07,702.15,2,0.6982244376340132,0.29319158886961594,617.2178678811338,600,750,500
MS PRL,MS,,11,12/27/2024,,,0.3,4.88,24.0,18.32,19.68,1.36,-4.32,20.56,21.98,-4.27,-10.48,19.34,24.49,18.15,24.49,35.0,19.5,0.16,-4.99,70.26,71.19,82.58,72.56,-4.5,1.18,57.47,61.37,-4.99,1.35,72.34,79.55,27580.0,28114.0,30060.0,28585.0,77.94,0.06,459.87,2.07,702.15,2,0.6949647581662063,0.15427429929334316,586.8266663916337,600,750,500
DTB,DTE,BB,11.5,12/27/2024,,,0.27,4.38,22.29,17.3,17.39,0.09,-4.9,18.14,19.36,-4.11,-10.16,16.98,21.9,16.98,22.86,35.0,17.23,0.25,-4.67,69.33,69.79,80.1,67.95,-5.06,-0.07,63.2,72.7,-5.63,0.25,81.68,89.63,14381.0,12277.0,11516.0,12725.0,74.39,0.06,456.44,2.07,702.15,10,0.6592394112851695,0.09029807326076976,545.4511436802895,500,600,400
WFC PRD,WFC,,11,11/27/2024,,,0.27,4.25,19.89,15.56,17.06,1.5,-2.83,17.81,18.7,-4.21,-8.79,16.53,20.8,15.47,20.8,5.0,16.8,0.27,-4.0,69.91,63.81,79.55,58.29,-3.09,1.24,43.04,60.83,-4.0,1.33,57.88,79.74,87632.0,82292.0,87871.0,85932.0,78.78,0.06,455.36,2.07,702.15,9,0.6481213280335725,0.4353196732066097,605.5609970681799,600,750,500
SCE PRL,EIX,TP,10,12/13/2024,,,0.31,5.0,20.24,16.94,16.54,-0.4,-3.7,17.32,19.21,-4.51,-13.89,15.98,21.09,15.98,21.32,21.0,16.3,0.32,-4.79,71.67,86.07,78.18,69.68,-3.94,-0.64,51.74,77.86,-5.02,0.32,72.77,88.99,44232.0,56227.0,42255.0,47571.0,56.28,0.08,453.98,2.07,702.15,2,0.634006930076671,0.2398655274120103,555.1786495437389,600,750,500
DTG,DTE,BB,11.5,11/15/2024,,,0.27,4.38,20.89,17.32,17.33,0.01,-3.56,18.13,19.43,-4.39,-10.8,16.88,22.05,16.88,22.25,83.0,17.31,0.43,-4.74,70.97,72.59,75.15,68.95,-3.58,-0.01,48.06,72.15,-4.94,0.43,71.61,87.98,21796.0,23542.0,16612.0,20650.0,74.39,0.06,453.5,2.07,702.15,9,0.6291219066269435,0.12128580144157519,527.5546855898698,500,600,400
PFH,PRU,BB,13,11/15/2024,9/1/2025,,0.26,4.13,22.61,17.35,17.14,-0.21,-5.47,17.93,19.13,-4.38,-10.41,16.84,21.59,16.84,21.59,83.0,17.12,0.28,-4.47,70.91,70.88,79.28,65.06,-5.49,-0.23,67.6,74.14,-4.47,0.28,64.74,89.36,29952.0,30035.0,27414.0,29134.0,72.85,0.06,453.18,2.07,702.15,9,0.6258722285444397,0.15662271622476465,532.0223260805047,500,600,400
AFGE,AFG,BB,11.5,11/29/2024,,,0.28,4.5,22.31,16.58,16.68,0.1,-5.63,17.43,18.8,-4.3,-11.29,16.26,21.21,16.2,21.78,7.0,16.42,0.16,-4.79,70.44,74.72,82.58,69.68,-5.89,-0.16,71.69,73.51,-5.36,0.22,77.74,89.91,9557.0,7434.0,6420.0,7804.0,65.68,0.07,451.27,2.07,702.15,2,0.6065928197652012,0.07218597525143307,499.71145086244763,500,600,400
ALL PRI,ALL,,12,12/27/2024,,,0.3,4.75,24.92,17.85,19.32,1.47,-5.6,19.98,21.06,-3.29,-8.28,18.56,24.49,17.5,24.49,35.0,19.14,0.58,-5.35,64.52,61.59,71.03,77.75,-5.78,1.29,70.56,60.37,-5.35,1.64,77.59,76.9,22799.0,20748.0,21818.0,21788.0,77.76,0.06,446.18,2.07,702.15,10,0.5562076849340782,0.12590277340862296,470.1467026289872,500,600,400
SCE PRG,EIX,TP,10,12/13/2024,,,0.32,5.1,20.73,17.2,16.95,-0.25,-3.78,17.7,19.62,-4.23,-13.61,16.32,21.69,16.32,21.7,21.0,16.7,0.38,-4.99,70.03,84.85,76.53,72.56,-4.03,-0.5,52.66,76.59,-5.0,0.38,72.48,88.44,17094.0,23475.0,11355.0,17308.0,56.28,0.08,444.18,2.07,702.15,1,0.5368119666298523,0.10796262315656738,451.04209793519533,500,600,400
AFGC,AFG,BB,11.5,11/29/2024,,,0.32,5.13,26.22,18.46,18.84,0.38,-7.38,19.63,20.95,-4.04,-10.08,18.2,23.42,18.2,23.42,7.0,18.54,0.34,-4.88,68.92,69.44,77.63,70.97,-7.68,0.08,90.0,71.34,-4.88,0.34,70.73,88.81,5934.0,6797.0,4585.0,5772.0,65.68,0.07,443.4,2.07,702.15,2,0.5293100541306158,0.06499032312397465,436.4461079292876,400,500,350
PSA PRI,PSA,,13.5,12/12/2024,,,0.3,4.88,25.8,19.44,19.67,0.23,-6.13,20.33,21.65,-3.25,-9.16,19.08,23.72,19.08,23.94,20.0,19.44,0.36,-4.28,64.29,65.43,77.08,62.32,-6.36,0.0,76.5,72.06,-4.5,0.36,65.18,88.63,16988.0,13804.0,8882.0,13225.0,73.05,0.06,439.74,2.07,702.15,2,0.4945826575207003,0.09218943961006416,414.1040139385731,400,500,350
PSA PRR,PSA,,13.5,12/12/2024,,,0.25,4.0,20.78,15.59,16.12,0.53,-4.66,16.64,17.77,-3.11,-9.26,15.68,20.16,15.38,20.16,20.0,15.93,0.25,-4.23,63.47,65.86,80.1,61.6,-4.85,0.34,61.05,68.98,-4.23,0.55,61.24,86.88,27999.0,27763.0,22875.0,26212.0,73.05,0.06,437.87,2.07,702.15,2,0.4771449479822629,0.1442189316475449,410.5597447153193,400,500,350
TBB,T,BB,12,10/17/2024,,,0.33,5.35,24.98,20.32,22.08,1.76,-2.9,23.35,23.54,-5.44,-6.22,21.75,24.9,20.26,24.9,54.0,21.95,0.2,-2.95,77.12,52.6,81.48,43.15,-3.03,1.63,42.43,57.29,-2.95,1.69,42.55,76.44,76584.0,64515.0,69405.0,70168.0,79.27,0.06,434.03,2.07,702.15,4,0.4419979273960578,0.35180989549279745,423.9603210154058,400,500,350
MGRB,AMG,BB,12,12/27/2024,,,0.3,4.75,22.01,16.09,16.94,0.85,-5.07,17.84,18.89,-5.04,-10.32,16.13,21.0,15.83,21.0,35.0,16.76,0.63,-4.24,74.77,70.49,69.66,61.75,-5.25,0.67,65.14,65.99,-4.24,0.93,61.39,83.4,16994.0,19894.0,21605.0,19498.0,65.57,0.07,433.41,2.07,702.15,10,0.4364076662349697,0.1166529905866321,372.4567311053022,400,500,350
ENJ,ETR,BB,14.5,11/29/2024,12/1/2017,,0.31,5.0,24.79,19.49,20.52,1.03,-4.27,21.02,21.8,-2.39,-5.87,20.02,24.59,19.31,24.59,7.0,20.23,0.21,-4.36,59.25,51.07,81.2,63.48,-4.56,0.74,58.08,65.36,-4.36,0.92,63.14,83.49,1724.0,1596.0,869.0,1396.0,80.79,0.06,430.44,2.07,702.15,11,0.4099599575379437,0.05011872336272723,337.9917107029004,300,400,300
STT PRG,STT,,13,11/27/2024,,,0.33,5.35,26.9,21.63,22.28,0.65,-4.62,23.1,24.0,-3.54,-7.17,21.62,25.16,21.42,25.16,5.0,21.97,0.35,-3.19,65.99,56.74,77.35,46.61,-4.93,0.34,61.87,68.98,-3.19,0.55,46.06,86.88,39771.0,44818.0,30672.0,38420.0,74.21,0.06,425.25,2.07,702.15,4,0.36508760263806556,0.19753116786700103,331.57631568385267,300,400,300
CMSD,CMS,BB,11.5,11/15/2024,,,0.37,5.88,25.59,21.91,22.17,0.26,-3.42,23.05,24.01,-3.83,-7.66,21.72,25.3,21.72,25.31,83.0,22.14,0.42,-3.16,67.69,58.88,75.43,46.18,-3.45,0.23,46.73,69.98,-3.17,0.42,45.77,88.08,43405.0,42685.0,45777.0,43956.0,69.39,0.07,423.88,2.07,702.15,4,0.35353475161862885,0.22291620439331075,327.41104217356525,300,400,300
NEE PRN,NEE,BB,12,11/27/2024,,,0.35,5.65,26.15,22.13,22.76,0.63,-3.39,23.23,24.21,-2.02,-5.98,22.1,25.55,21.92,25.62,5.0,22.43,0.33,-3.12,57.09,51.55,77.9,45.6,-3.72,0.3,49.49,69.34,-3.19,0.51,46.06,87.25,45087.0,51728.0,38621.0,45145.0,76.88,0.06,420.39,2.07,702.15,4,0.3246702457866623,0.22845926033315117,305.42804869596006,300,400,300
CMSC,CMS,BB,11.5,12/27/2024,10/15/2023,,0.37,5.88,25.19,21.74,22.16,0.42,-3.03,22.84,23.92,-2.97,-7.37,21.28,25.36,21.28,25.36,35.0,21.93,0.65,-3.43,62.65,57.62,69.11,50.07,-3.26,0.19,44.78,70.34,-3.43,0.65,49.56,85.97,22098.0,28668.0,39328.0,30031.0,69.39,0.07,415.61,2.07,702.15,4,0.28649070294695667,0.16047726333902942,261.28801502537124,300,400,300
CNO PRA,CNO,BB,NR,11/15/2024,11/25/2025,,0.32,5.13,22.08,14.95,17.54,2.59,-4.54,18.99,20.03,-7.64,-12.45,16.54,22.22,14.56,22.53,83.0,17.52,0.98,-4.7,90.0,79.79,60.03,68.38,-4.56,2.57,58.08,48.78,-5.01,2.96,72.63,64.8,1523.0,1688.0,1302.0,1504.0,55.56,0.07,413.94,2.07,702.15,3,0.27353151839524176,0.05047479703609646,228.92017412341272,200,250,200
ETI PR,ETR,,10,12/30/2024,,,0.34,5.38,25.5,21.75,22.92,1.17,-2.58,23.76,23.75,-3.55,-3.5,22.71,25.23,21.39,25.43,38.0,22.72,0.01,-2.51,66.05,40.73,86.7,36.81,-2.78,0.97,39.87,63.27,-2.71,1.33,39.05,79.74,2054.0,1542.0,1913.0,1836.0,79.21,0.06,400.77,2.07,702.15,7,0.17867440549967206,0.05157302024816709,153.25412844937105,200,250,200
SYF PRA,SYF,,NR,10/30/2024,11/15/2024,,0.35,5.63,22.14,15.28,17.81,2.53,-4.33,18.46,19.26,-3.54,-7.53,16.19,21.94,14.51,21.94,67.0,17.72,1.53,-4.22,65.99,58.31,44.91,61.46,-4.42,2.44,56.65,49.95,-4.22,3.21,61.09,62.51,54772.0,57123.0,50769.0,54221.0,59.72,0.08,396.43,2.07,702.15,8,0.15047789559387134,0.2717714628105292,174.73660903720292,200,250,200
PRS,PRU,BB,13,11/1/2024,8/15/2023,,0.35,5.63,26.16,22.52,23.03,0.51,-3.13,23.36,24.23,-1.4,-4.94,22.35,25.42,22.31,25.42,69.0,22.95,0.6,-2.47,53.46,47.01,70.48,36.23,-3.21,0.43,44.27,68.17,-2.47,0.64,35.55,86.06,28435.0,31789.0,26744.0,28990.0,72.85,0.06,390.4,2.07,702.15,4,0.11408439826805548,0.1560059464051447,122.46870789547333,100,100,200
PEB PRG,PEB,,NR,12/27/2024,,,0.4,6.38,23.4,18.0,18.1,0.1,-5.3,18.65,20.28,-2.97,-10.75,16.6,23.18,16.6,23.18,35.0,17.86,1.26,-5.32,62.65,72.37,52.34,77.32,-5.54,-0.14,68.11,73.33,-5.32,1.26,77.15,80.38,10240.0,10645.0,14082.0,11656.0,37.23,0.09,387.79,2.07,702.15,5,0.09940339223150076,0.08628498591023033,96.77971096724667,100,100,200
GDV PRK,GDV,,17,12/13/2024,,,0.27,4.25,20.82,17.65,18.41,0.76,-2.41,18.69,19.15,-1.5,-3.86,17.97,21.49,16.96,21.49,21.0,18.2,0.23,-3.29,54.04,42.3,80.65,48.05,-2.62,0.55,38.24,67.08,-3.29,1.24,47.52,80.56,9262.0,8869.0,4943.0,7691.0,71.99,0.06,387.57,2.07,702.15,4,0.09819698457604133,0.07178128385626835,92.91384443208673,100,100,200
PEB PRE,PEB,,NR,12/27/2024,,,0.4,6.38,24.71,18.32,18.12,-0.2,-6.59,18.47,20.51,-1.89,-11.65,16.27,23.22,16.27,23.22,35.0,17.88,1.61,-5.34,56.33,76.3,42.71,77.6,-6.83,-0.44,81.3,76.05,-5.34,1.61,77.45,77.17,9528.0,10917.0,6730.0,9058.0,37.23,0.09,385.56,2.07,702.15,11,0.08740524204133429,0.07671181439180841,85.26655651142913,100,100,200
TRTN PRD,-,,NR,12/6/2024,3/15/2025,,0.43,6.88,25.95,21.62,21.42,-0.19,-4.52,22.35,23.41,-4.1,-8.48,19.76,25.67,19.76,25.67,14.0,21.07,1.31,-4.6,69.27,62.46,50.96,66.94,-4.88,-0.55,61.36,77.04,-4.6,1.31,66.64,79.92,9966.0,9231.0,11072.0,10090.0,45.05,0.08,383.66,2.07,702.15,5,0.07759651508930215,0.08048339414709067,78.17389090085986,100,100,200
GAB PRH,GAB,,16,12/16/2024,,,0.31,5.0,23.89,20.98,21.02,0.04,-2.87,21.25,21.9,-1.09,-4.02,20.4,24.24,20.4,24.24,24.0,20.79,0.39,-3.45,51.64,43.0,76.25,50.36,-3.1,-0.19,43.15,73.78,-3.45,0.39,49.85,88.35,8656.0,9242.0,3986.0,7295.0,67.41,0.06,383.57,2.07,702.15,7,0.0771416129029181,0.070367234164823,75.78673715529908,100,100,200
ADC PRA,ADC,,11,10/22/2024,,,0.27,4.25,20.92,15.83,17.54,1.71,-3.38,17.61,18.44,-0.39,-4.89,16.96,21.94,15.71,21.94,59.0,17.45,0.49,-4.49,47.54,46.79,73.51,65.35,-3.47,1.62,46.93,57.38,-4.49,1.74,65.04,75.98,15926.0,14548.0,7493.0,12656.0,65.97,0.06,382.62,2.07,702.15,5,0.07239464071382773,0.09003777683841356,75.9232679387449,100,100,200
OZKAP,OZK,,9,11/1/2024,11/15/2026,,0.29,4.63,20.78,14.61,16.25,1.69,-4.48,16.96,17.09,-3.91,-4.65,15.75,19.88,14.37,19.88,69.0,16.23,0.48,-3.65,68.16,45.74,73.78,53.24,-4.55,1.62,57.98,57.38,-3.65,1.86,52.77,74.88,28785.0,27349.0,40225.0,32120.0,56.7,0.07,379.78,2.07,702.15,8,0.05881853700890017,0.16953683314143211,80.96219623540657,100,100,200
GAB PRK,GAB,,16,12/16/2024,,,0.31,5.0,24.4,21.23,21.17,-0.07,-3.24,21.28,21.91,-0.59,-3.44,20.5,24.25,20.5,24.25,24.0,20.93,0.43,-3.32,48.71,40.46,75.15,48.49,-3.47,-0.3,46.93,74.78,-3.32,0.43,47.96,87.98,7293.0,7754.0,4518.0,6522.0,67.41,0.06,378.47,2.07,702.15,7,0.05288008978656966,0.06762585292583952,55.82924241442363,100,100,200
CFG PRE,CFG,,10,12/18/2024,,,0.31,5.0,22.34,16.2,19.2,3.0,-3.14,19.61,20.38,-2.09,-5.81,17.99,23.38,15.17,23.38,26.0,18.98,0.99,-4.4,57.5,50.81,59.76,64.05,-3.36,2.78,45.81,46.87,-4.4,3.81,63.72,57.01,32336.0,35357.0,27936.0,31876.0,60.61,0.07,375.64,2.07,702.15,8,0.04079457389693089,0.16847275516601687,66.33021015074809,100,100,200
SIGIP,SIGI,,10,11/27/2024,,,0.29,4.6,20.74,15.48,17.2,1.81,-3.45,17.79,18.45,-2.79,-6.31,16.82,20.3,15.17,20.3,5.0,17.02,0.2,-3.28,61.6,52.99,81.48,47.91,-3.72,1.54,49.49,58.11,-3.28,1.85,47.37,74.97,5179.0,5137.0,2252.0,4189.0,57.82,0.07,375.44,2.07,702.15,1,0.0399806269637434,0.05950849360170075,43.88620029133487,0,0,200
CFR PRB,CFR,,11.5,11/27/2024,,,0.28,4.45,21.8,15.89,17.73,1.84,-4.07,17.72,18.78,0.05,-5.58,16.34,22.15,15.6,22.15,5.0,17.47,1.13,-4.68,44.96,49.8,55.91,68.09,-4.33,1.58,55.73,57.75,-4.68,1.87,67.81,74.79,9407.0,10277.0,8416.0,9367.0,63.63,0.06,375.05,2.07,702.15,1,0.03840924531418508,0.07783670691373577,46.29473763409522,0,0,200
ACP PRA,ACP,,15,12/16/2024,,,0.33,5.25,24.61,21.47,21.46,-0.01,-3.15,21.71,23.24,-1.15,-7.66,20.21,25.0,19.65,26.33,24.0,21.22,1.01,-3.78,51.99,58.88,59.21,55.12,-3.39,-0.25,46.11,74.33,-5.11,1.57,74.09,77.54,1931.0,2372.0,1235.0,1846.0,55.94,0.06,373.31,2.07,702.15,11,0.03166029455895667,0.051606183716314244,35.649472390428194,0,0,200
BOH PRA,BOH,,12,10/17/2024,8/1/2026,,0.27,4.38,20.44,13.05,15.47,2.41,-4.98,15.89,16.6,-2.71,-6.85,14.51,19.24,12.86,19.24,54.0,15.35,0.84,-3.89,61.13,55.35,63.88,56.7,-5.09,2.3,63.5,51.22,-3.89,2.49,56.28,69.11,8906.0,6306.0,4007.0,6406.0,56.7,0.07,373.3,2.07,702.15,8,0.0316227766016838,0.0672166477496335,38.741550831273734,0,0,200
