PREF IBKR,CMON,BOND_,CRDT SCORE_,EX-DIV DATE,CALL DATE,MATUR DATE,DIV AMOUNT,COUPON,Aug2022_Price,Oct19_Price,Last Price,Oct19_diff,Aug2022_diff,SMA88,SMA268,SMA88 chg,SMA268 chg,6M Low,6M High,1Y Low,1Y High,TIME TO DIV,Div adj.price
ACGLN,ACGL,,12,12/13/2024,,,0.28,4.55%,21.70,16.62,17.06,0.44,-4.64,17.86,19.12,-4.50,-10.76,16.44,20.99,16.44,21.22,21,16.85
ACGLO,ACGL,,11.5,12/13/2024,,,0.34,5.45%,24.93,19.34,20.64,1.30,-4.29,21.14,22.28,-2.35,-7.37,19.99,23.93,19.20,24.50,21,20.38
ACP PRA,ACP,,15,12/16/2024,,,0.33,5.25%,24.61,21.47,21.46,-0.01,-3.15,21.71,23.24,-1.15,-7.66,20.21,25.00,19.65,26.33,24,21.22
ADC PRA,ADC,,11,10/22/2024,,,0.27,4.25%,20.92,15.83,17.54,1.71,-3.38,17.61,18.44,-0.39,-4.89,16.96,21.94,15.71,21.94,59,17.45
AEFC,AEG,BB,12.5,11/29/2024,12/15/2024,,0.32,5.10%,24.32,18.56,20.18,1.62,-4.14,20.39,21.20,-1.01,-4.83,18.61,22.90,18.24,22.90,7,19.88
AFGB,AFG,BB,11.5,12/13/2024,,,0.37,5.88%,26.83,21.40,21.27,-0.13,-5.56,22.09,23.42,-3.70,-9.17,20.68,25.27,20.68,25.27,21,20.99
AFGC,AFG,BB,11.5,11/29/2024,,,0.32,5.13%,26.22,18.46,18.84,0.38,-7.38,19.63,20.95,-4.04,-10.08,18.20,23.42,18.20,23.42,7,18.54
AFGD,AFG,BB,11.5,11/15/2024,,,0.35,5.63%,25.56,20.36,20.10,-0.26,-5.46,21.31,22.97,-5.70,-12.50,18.19,25.61,18.19,25.61,83,20.07
AFGE,AFG,BB,11.5,11/29/2024,,,0.28,4.50%,22.31,16.58,16.68,0.10,-5.63,17.43,18.80,-4.30,-11.29,16.26,21.21,16.20,21.78,7,16.42
AGM PRD,AGM,,NR,12/27/2024,,,0.36,5.70%,25.28,21.04,21.91,0.87,-3.37,22.24,23.00,-1.50,-4.73,21.35,24.86,20.26,25.70,35,21.69
AGM PRE,AGM,,NR,12/27/2024,,,0.36,5.75%,24.90,21.55,21.72,0.17,-3.18,22.39,23.15,-2.99,-6.19,21.42,24.74,20.31,24.93,35,21.50
AGM PRF,AGM,,NR,12/27/2024,,,0.33,5.25%,22.50,19.90,20.21,0.31,-2.29,20.67,21.33,-2.22,-5.26,19.81,23.39,17.82,23.99,35,20.01
AGM PRG,AGM,,NR,12/27/2024,,,0.30,4.88%,21.80,18.20,18.91,0.71,-2.89,19.24,19.92,-1.72,-5.08,18.37,22.37,17.16,22.37,35,18.73
AHH PRA,AHH,,NR,1/2/2025,,,0.42,6.75%,26.43,20.50,21.90,1.40,-4.53,21.92,22.49,-0.08,-2.63,19.88,25.76,19.52,25.76,41,21.67
AIZN,AIZ,BB,10,12/27/2024,,,0.33,5.25%,24.00,17.74,20.58,2.84,-3.42,19.87,21.03,3.58,-2.12,18.01,23.14,17.70,23.14,35,20.38
ALL PRH,ALL,,12,12/27/2024,,,0.32,5.10%,24.78,18.74,20.84,2.10,-3.94,21.50,22.34,-3.08,-6.70,19.37,24.97,18.38,24.97,35,20.64
ALL PRI,ALL,,12,12/27/2024,,,0.30,4.75%,24.92,17.85,19.32,1.47,-5.60,19.98,21.06,-3.29,-8.28,18.56,24.49,17.50,24.49,35,19.14
AMH PRG,AMH,,9,12/13/2024,,,0.37,5.88%,25.47,21.43,23.52,2.09,-1.95,23.10,23.36,1.81,0.67,21.76,25.34,21.10,25.34,21,23.24
AMH PRH,AMH,,9,12/13/2024,,,0.39,6.25%,25.85,22.38,24.93,2.55,-0.92,24.17,24.27,3.14,2.72,22.70,26.25,21.74,26.25,21,24.63
ASB PRE,ASB,,10,12/2/2024,,,0.37,5.88%,25.10,16.77,20.57,3.80,-4.53,21.00,21.40,-2.05,-3.87,19.25,23.75,15.75,23.75,10,20.24
ASB PRF,ASB,,10,12/2/2024,,,0.35,5.63%,25.25,16.40,19.70,3.30,-5.55,20.08,20.46,-1.88,-3.73,18.51,22.91,14.91,22.91,10,19.39
ATH PRB,-,,11,12/13/2024,,,0.35,5.63%,25.26,18.00,19.73,1.73,-5.53,20.11,21.26,-1.89,-7.20,18.34,23.53,16.66,23.53,21,19.46
ATH PRD,-,,11,12/13/2024,,,0.30,4.88%,21.69,15.24,17.03,1.79,-4.66,17.40,18.46,-2.12,-7.76,15.86,20.61,15.19,20.61,21,16.80
AXS PRE,AXS,,11.5,12/26/2024,,,0.34,5.50%,24.04,19.26,20.05,0.79,-3.99,20.74,21.56,-3.33,-6.99,19.45,23.66,18.77,23.66,34,19.84
BAC PRB,BAC,,11,10/29/2024,6/16/2023,,0.38,6.00%,25.69,23.02,24.51,1.49,-1.18,24.96,25.10,-1.79,-2.36,24.15,25.63,22.30,25.63,66,24.41
BAC PRK,BAC,,11,1/2/2025,,,0.37,5.88%,25.68,22.00,23.98,1.98,-1.70,24.57,24.84,-2.40,-3.45,23.45,25.43,21.51,25.43,41,23.78
BAC PRM,BAC,,11,12/2/2024,,,0.34,5.38%,25.18,20.70,21.77,1.07,-3.41,22.66,23.29,-3.93,-6.55,21.44,24.88,20.54,24.88,10,21.47
BAC PRN,BAC,,11,12/2/2024,,,0.31,5.00%,23.90,19.25,20.16,0.91,-3.74,21.03,21.90,-4.12,-7.94,19.50,24.04,19.00,24.04,10,19.88
BAC PRO,BAC,,11,10/15/2024,11/3/2025,,0.27,4.38%,21.39,16.54,17.60,1.06,-3.79,18.51,19.39,-4.92,-9.22,17.30,21.54,16.35,21.54,52,17.49
BAC PRP,BAC,,11,10/15/2024,,,0.26,4.12%,20.80,15.57,16.57,1.00,-4.23,17.50,18.32,-5.29,-9.57,16.26,20.58,15.40,20.58,52,16.46
BAC PRQ,BAC,,11,11/1/2024,,,0.27,4.25%,20.46,16.11,16.97,0.86,-3.49,17.94,18.74,-5.38,-9.46,16.74,21.00,15.98,21.00,69,16.91
BAC PRS,BAC,,11,11/1/2024,,,0.30,4.75%,22.49,18.24,19.10,0.86,-3.39,20.08,20.95,-4.87,-8.84,18.78,23.44,17.82,23.44,69,19.03
BCV PRA,BCV,,16,12/16/2024,,,0.34,5.39%,24.69,22.15,22.18,0.03,-2.51,22.41,22.97,-1.04,-3.45,21.51,24.71,21.51,25.26,24,21.93
BFS PRD,BFS,,NR,12/27/2024,,,0.38,6.13%,24.15,19.30,21.25,1.95,-2.90,21.00,21.42,1.21,-0.81,19.30,23.77,19.01,23.95,35,21.02
BFS PRE,BFS,,NR,12/27/2024,,,0.38,6.00%,24.60,18.93,20.85,1.92,-3.75,20.82,21.37,0.15,-2.45,18.34,24.06,18.34,24.49,35,20.62
BHFAL,BHF,BB,10.5,12/2/2024,9/15/2023,,0.39,6.25%,26.35,20.69,20.30,-0.39,-6.05,21.24,22.81,-4.42,-10.99,19.26,25.47,19.10,25.47,10,19.95
BHFAM,BHF,,10.5,12/6/2024,,,0.29,4.63%,21.13,13.35,14.91,1.56,-6.22,14.81,16.20,0.65,-7.97,13.28,18.95,13.03,18.95,14,14.67
BHFAN,BHF,,10,12/6/2024,,,0.34,5.38%,22.69,15.27,16.33,1.06,-6.36,16.46,18.49,-0.77,-11.67,14.54,21.63,14.54,21.63,14,16.04
BHFAO,BHF,,10,12/6/2024,6/25/2025,,0.42,6.75%,26.51,21.17,20.15,-1.02,-6.36,21.10,23.43,-4.52,-14.01,18.53,26.00,18.53,26.00,14,19.80
BHFAP,BHF,,10,12/6/2024,,,0.41,6.60%,26.10,20.01,19.69,-0.32,-6.41,20.68,22.68,-4.77,-13.19,18.38,25.51,18.38,25.51,14,19.34
BOH PRA,BOH,,12,10/17/2024,8/1/2026,,0.27,4.38%,20.44,13.05,15.46,2.41,-4.98,15.89,16.60,-2.71,-6.85,14.51,19.24,12.86,19.24,54,15.35
BWBBP,BWB,,NR,11/11/2024,8/17/2026,,0.37,5.88%,23.52,16.57,18.81,2.24,-4.71,19.14,19.06,-1.73,-1.33,18.10,22.00,14.48,22.00,79,18.76
CADE PRA,CADE,,NR,11/1/2024,11/20/2024,,0.34,5.50%,24.16,16.69,20.88,4.19,-3.28,21.16,21.18,-1.34,-1.43,19.60,23.49,16.13,23.49,69,20.80
CFG PRE,CFG,,10,12/18/2024,,,0.31,5.00%,22.34,16.20,19.20,3.00,-3.14,19.61,20.38,-2.09,-5.81,17.99,23.38,15.17,23.38,26,18.98
CFR PRB,CFR,,11.5,11/27/2024,,,0.28,4.45%,21.80,15.89,17.73,1.84,-4.07,17.72,18.78,0.05,-5.58,16.34,22.15,15.60,22.15,5,17.47
CIM PRA,CIM,,NR,12/11/2024,10/21/2021,,0.50,8.00%,22.82,18.15,22.32,4.17,-0.50,21.96,22.52,1.62,-0.87,19.85,24.56,17.33,24.56,19,21.93
CIO PRA,CIO,,NR,1/8/2025,9/15/2021,,0.41,6.63%,24.00,15.06,19.23,4.17,-4.77,18.53,18.58,3.75,3.51,16.86,21.06,14.16,21.79,47,19.03
CLDT PRA,CLDT,,NR,12/27/2024,,,0.41,6.63%,24.33,19.64,20.61,0.97,-3.72,20.54,21.54,0.36,-4.33,18.18,24.49,18.18,24.49,35,20.36
CMS PRC,CMS,,10.5,1/2/2025,,,0.26,4.20%,20.81,17.98,16.95,-1.03,-3.86,17.51,18.63,-3.20,-9.03,16.06,20.92,16.06,21.68,41,16.81
CMSA,CMS,BB,11.5,11/29/2024,3/15/2023,,0.35,5.63%,26.19,21.25,21.42,0.17,-4.77,22.15,23.57,-3.28,-9.11,20.66,25.53,20.66,25.53,7,21.10
CMSC,CMS,BB,11.5,12/27/2024,10/15/2023,,0.37,5.88%,25.19,21.74,22.16,0.42,-3.03,22.84,23.92,-2.97,-7.37,21.28,25.36,21.28,25.36,35,21.93
CMSD,CMS,BB,11.5,11/15/2024,,,0.37,5.88%,25.59,21.91,22.17,0.26,-3.42,23.05,24.01,-3.83,-7.66,21.72,25.30,21.72,25.31,83,22.14
CNO PRA,CNO,BB,NR,11/15/2024,11/25/2025,,0.32,5.13%,22.08,14.95,17.54,2.59,-4.54,18.99,20.03,-7.64,-12.45,16.54,22.22,14.56,22.53,83,17.52
COF PRI,COF,,10,11/13/2024,,,0.31,5.00%,23.21,16.12,19.05,2.93,-4.16,19.37,20.03,-1.67,-4.88,17.75,22.04,15.65,22.04,81,19.02
COF PRJ,COF,,10,11/13/2024,,,0.30,4.80%,21.90,15.54,18.14,2.60,-3.76,18.53,19.11,-2.08,-5.08,16.97,20.85,15.05,20.85,81,18.11
COF PRK,COF,,10,11/13/2024,,,0.29,4.63%,22.17,14.99,17.66,2.67,-4.51,17.93,18.84,-1.48,-6.29,16.46,21.07,14.64,21.07,81,17.63
COF PRL,COF,,10,11/13/2024,,,0.27,4.38%,20.06,13.84,16.70,2.86,-3.36,16.95,17.81,-1.46,-6.24,15.42,20.16,13.57,20.16,81,16.67
COF PRN,COF,,10,11/13/2024,,,0.27,4.25%,19.94,13.68,16.54,2.86,-3.40,16.60,17.33,-0.37,-4.55,15.15,19.81,13.26,19.81,81,16.51
CUBB,CUBI,BB,NR,12/13/2024,,,0.34,5.38%,23.56,18.75,20.36,1.61,-3.20,19.81,19.92,2.75,2.20,18.30,21.85,16.50,22.00,21,20.10
DCOMP,DCOM,,8,11/5/2024,2/15/2025,,0.34,5.50%,22.38,14.51,18.88,4.37,-3.50,19.31,18.99,-2.21,-0.56,17.51,21.44,13.30,21.44,73,18.82
DLR PRJ,DLR,,10.5,12/13/2024,,,0.33,5.25%,25.38,19.55,21.37,1.82,-4.01,21.31,22.23,0.30,-3.86,20.02,24.63,19.06,24.63,21,21.12
DLR PRK,DLR,,10.5,12/13/2024,,,0.37,5.88%,26.40,22.00,23.22,1.22,-3.18,23.54,24.17,-1.35,-3.92,22.10,25.61,21.40,25.61,21,22.94
DLR PRL,DLR,,10.5,12/13/2024,,,0.33,5.20%,25.37,19.32,20.56,1.24,-4.81,20.78,21.89,-1.05,-6.07,19.61,24.45,19.01,24.45,21,20.31
DTB,DTE,BB,11.5,12/27/2024,,,0.27,4.38%,22.29,17.30,17.39,0.09,-4.90,18.14,19.36,-4.11,-10.16,16.98,21.90,16.98,22.86,35,17.23
DTG,DTE,BB,11.5,11/15/2024,,,0.27,4.38%,20.89,17.32,17.33,0.01,-3.56,18.13,19.43,-4.39,-10.80,16.88,22.05,16.88,22.25,83,17.31
DTW,DTE,BB,11.5,11/15/2024,12/1/2022,,0.33,5.25%,25.42,20.88,21.36,0.48,-4.06,22.01,23.02,-2.97,-7.22,20.55,25.11,20.42,25.17,83,21.33
DUK PRA,DUK,,11,11/15/2024,,,0.36,5.75%,26.49,22.91,24.78,1.87,-1.71,24.90,25.00,-0.46,-0.86,24.06,25.66,22.71,25.73,83,24.75
DUKB,DUK,BB,12,12/13/2024,,,0.35,5.63%,26.08,21.93,24.92,2.99,-1.16,24.51,24.69,1.66,0.93,23.30,25.47,21.80,25.59,21,24.65
ECF PRA,ECF,,16,12/16/2024,,,0.33,5.25%,24.84,21.83,21.57,-0.26,-3.27,22.05,22.52,-2.17,-4.22,20.21,24.43,20.21,24.43,24,21.33
EFSCP,EFSC,,NR,11/27/2024,,,0.31,5.00%,21.75,15.40,19.15,3.75,-2.60,18.96,19.63,0.98,-2.44,17.20,22.22,13.68,22.22,5,18.86
ELC,ETR,BB,15,11/29/2024,,,0.30,4.88%,25.30,20.02,20.50,0.48,-4.80,20.93,21.74,-2.05,-5.72,19.93,23.43,19.86,23.59,7,20.22
EMP,ETR,BB,14.5,12/27/2024,,,0.31,4.90%,25.30,20.07,20.57,0.50,-4.73,21.01,21.97,-2.11,-6.38,20.01,23.61,19.90,24.23,35,20.38
ENJ,ETR,BB,14.5,11/29/2024,12/1/2017,,0.31,5.00%,24.79,19.49,20.52,1.03,-4.27,21.02,21.80,-2.39,-5.87,20.02,24.59,19.31,24.59,7,20.23
ENO,ETR,BB,13,12/27/2024,,,0.34,5.50%,25.40,20.75,22.27,1.52,-3.13,22.21,23.14,0.29,-3.74,21.21,25.32,20.50,25.32,35,22.06
EQH PRA,EQH,,10.5,11/29/2024,,,0.33,5.25%,23.77,17.79,20.13,2.34,-3.64,20.77,21.79,-3.10,-7.64,18.41,23.89,17.26,23.89,7,19.83
EQH PRC,EQH,,10.5,11/29/2024,,,0.27,4.30%,21.08,13.95,16.50,2.55,-4.58,17.41,18.30,-5.23,-9.83,15.83,20.69,13.35,20.69,7,16.25
ETI PR,ETR,,10,12/30/2024,,,0.34,5.38%,25.50,21.75,22.92,1.17,-2.58,23.76,23.75,-3.55,-3.50,22.71,25.23,21.39,25.43,38,22.72
F PRB,F,BB,9.5,11/12/2024,6/1/2024,,0.39,6.20%,26.79,20.83,20.44,-0.39,-6.35,22.12,23.59,-7.58,-13.35,19.90,25.39,19.90,25.64,80,20.40
F PRC,F,BB,9,11/12/2024,12/1/2024,,0.38,6.00%,25.99,20.49,20.25,-0.24,-5.74,21.56,23.20,-6.08,-12.73,19.20,25.35,19.20,25.38,80,20.21
FBRT PRE,FBRT,,NR,12/27/2024,,,0.47,7.50%,21.68,18.20,20.42,2.22,-1.26,20.80,21.45,-1.83,-4.81,19.05,23.65,18.03,23.65,35,20.13
FCNCO,FCNCA,,9.5,11/27/2024,,,0.35,5.63%,24.08,19.40,22.74,3.34,-1.34,22.44,22.94,1.34,-0.88,20.57,24.83,18.91,24.83,5,22.41
FCNCP,FCNCA,,9.5,11/27/2024,,,0.34,5.38%,23.66,18.85,21.24,2.39,-2.42,21.72,22.36,-2.22,-5.03,19.30,24.42,18.69,24.42,5,20.92
FHN PRF,FHN,,8.5,12/20/2024,,,0.29,4.70%,,,17.70,,,17.77,18.37,-0.39,-3.64,16.41,21.48,13.13,21.48,28,17.50
FITBO,FITB,,10.5,12/26/2024,,,0.31,4.95%,25.79,17.93,21.61,3.68,-4.18,21.80,21.83,-0.89,-1.01,19.52,24.15,17.58,24.15,34,21.42
FITBP,FITB,,NR,12/26/2024,,,0.38,6.00%,25.60,22.13,24.50,2.37,-1.10,24.54,24.42,-0.17,0.32,23.04,25.90,21.01,25.90,34,24.26
FRT PRC,FRT,,12.5,1/2/2025,,,0.31,5.00%,25.75,19.64,20.32,0.68,-5.43,20.92,21.45,-2.88,-5.28,19.41,23.27,18.57,23.90,41,20.15
FULTP,FULT,,11,12/2/2024,,,0.32,5.13%,23.10,15.09,18.94,3.85,-4.16,19.52,19.31,-2.97,-1.90,17.25,21.22,14.56,21.22,10,18.66
GAB PRG,GAB,,16,12/16/2024,,,0.31,5.00%,24.50,21.00,21.05,0.05,-3.45,21.24,21.86,-0.88,-3.70,20.17,24.20,20.17,24.20,24,20.82
GAB PRH,GAB,,16,12/16/2024,,,0.31,5.00%,23.89,20.98,21.02,0.04,-2.87,21.25,21.90,-1.09,-4.02,20.40,24.24,20.40,24.24,24,20.79
GAB PRK,GAB,,16,12/16/2024,,,0.31,5.00%,24.40,21.23,21.16,-0.07,-3.24,21.28,21.91,-0.59,-3.44,20.50,24.25,20.50,24.25,24,20.93
GDV PRH,GDV,,17,12/16/2024,,,0.34,5.38%,25.85,22.55,23.08,0.53,-2.77,23.37,23.71,-1.25,-2.64,22.51,25.34,22.00,25.34,24,22.83
GDV PRK,GDV,,17,12/13/2024,,,0.27,4.25%,20.82,17.65,18.41,0.76,-2.41,18.69,19.15,-1.50,-3.86,17.97,21.49,16.96,21.49,21,18.20
GGN PRB,GGN,,15,12/16/2024,5/7/2018,,0.31,5.00%,23.67,21.38,20.74,-0.64,-2.93,20.84,21.45,-0.49,-3.30,19.84,24.15,19.84,24.15,24,20.51
GGT PRE,GGT,,15,12/16/2024,,,0.32,5.13%,24.85,22.98,22.68,-0.30,-2.17,22.90,22.97,-0.97,-1.25,22.50,24.70,21.41,24.70,24,22.45
GGT PRG,GGT,,15,12/16/2024,12/20/2024,,0.32,5.13%,24.59,22.95,22.80,-0.15,-1.79,22.78,22.94,0.10,-0.60,22.32,24.47,21.87,24.47,24,22.57
GNT PRA,GNT,,15,11/15/2024,,,0.33,5.20%,24.55,21.53,21.52,-0.01,-3.03,21.74,22.22,-1.03,-3.17,21.33,24.30,21.17,24.30,83,21.49
GPJA,SO,BB,11.5,12/27/2024,,,0.31,5.00%,25.62,20.82,22.54,1.72,-3.08,22.53,23.50,0.03,-4.07,21.00,25.41,20.58,25.66,35,22.35
GRBK PRA,GRBK,,NR,11/25/2024,,,0.36,5.75%,22.08,17.93,22.00,4.07,-0.08,22.96,23.06,-4.17,-4.61,21.06,25.00,17.15,25.00,3,21.65
GUT PRC,GUT,,16,12/16/2024,,,0.34,5.38%,25.39,23.02,23.29,0.27,-2.10,24.26,24.32,-4.01,-4.24,23.15,25.22,22.33,25.56,24,23.04
HBANM,HBAN,,9,11/15/2024,12/1/2022,,0.36,5.70%,25.47,17.80,22.48,4.68,-2.99,22.77,23.03,-1.29,-2.41,21.45,25.39,17.68,25.39,83,22.45
HBANP,HBAN,,10,1/2/2025,,,0.28,4.50%,20.81,14.07,17.65,3.58,-3.16,17.79,18.40,-0.78,-4.09,16.22,20.74,13.71,20.74,41,17.50
HFRO PRA,HFRO,,16,12/20/2024,,,0.34,5.38%,23.45,17.01,15.26,-1.75,-8.19,16.11,17.91,-5.28,-14.79,14.50,21.09,14.50,21.09,28,15.03
HIG PRG,HIG,,11,11/1/2024,11/15/2023,,0.38,6.00%,26.60,22.89,24.97,2.08,-1.63,24.99,25.05,-0.09,-0.30,23.99,25.53,22.76,25.60,69,24.88
HWCPZ,HWC,BB,11,11/27/2024,6/15/2025,,0.39,6.25%,26.56,22.45,24.28,1.83,-2.28,23.79,24.03,2.05,1.03,22.21,26.19,19.75,26.19,5,23.91
INN PRE,INN,,NR,11/13/2024,11/13/2022,,0.39,6.25%,21.22,18.14,19.00,0.86,-2.22,19.87,20.59,-4.39,-7.71,17.30,21.77,17.03,22.48,81,18.96
INN PRF,INN,,NR,11/13/2024,8/12/2026,,0.37,5.88%,21.02,18.07,19.03,0.96,-1.99,19.01,20.07,0.13,-5.18,17.03,22.00,16.07,22.00,81,18.99
JPM PRC,JPM,,11.5,10/29/2024,3/1/2024,,0.38,6.00%,26.10,24.11,25.07,0.96,-1.03,25.21,25.27,-0.56,-0.79,24.74,25.82,23.87,25.82,66,24.97
JPM PRD,JPM,,11.5,10/29/2024,12/1/2023,,0.36,5.75%,25.75,23.30,24.35,1.05,-1.40,24.80,24.97,-1.80,-2.49,24.02,25.67,22.83,25.67,66,24.25
